token,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
have,153.781,165.798,144.858,151.355,145.682,134.655,189.655,152.135
game,55.912,263.382,74.829,147.46,193.548,96.095,193.966,150.346
out,144.917,162.719,139.395,137.444,162.331,146.897,241.379,149.391
open,58.796,194.931,91.467,209.226,300.728,175.052,193.966,148.994
editor,47.821,150.64,158.35,94.597,74.922,83.854,60.345,142.274
gmail,95.483,170.417,110.92,168.049,196.67,168.931,107.759,141.995
good,119.097,159.166,133.932,125.758,133.195,119.966,163.793,141.16
alum,94.618,144.955,172.174,35.056,49.948,67.94,17.241,140.365
designer,55.491,186.049,111.913,128.54,157.128,111.397,103.448,139.61
stuff,49.581,194.576,94.447,148.573,173.777,119.966,250.0,138.059
am,154.393,143.771,128.717,174.726,130.073,130.983,172.414,137.661
also,76.011,174.799,109.926,127.428,160.25,117.517,267.241,136.826
26,33.082,120.559,116.962,213.121,211.238,201.371,232.759,135.196
co,75.7,182.378,118.452,97.379,89.49,88.75,94.828,135.156
dog,64.403,115.467,171.181,71.226,77.003,63.655,116.379,134.242
phd,31.495,124.586,153.798,65.105,77.003,83.854,73.276,129.43
dad,112.93,336.689,10.181,41.734,126.951,14.078,81.897,127.442
pronouns,25.221,106.821,106.45,268.766,192.508,119.966,521.552,126.17
always,92.162,130.033,129.544,107.952,119.667,102.216,112.069,125.851
content,93.029,152.416,95.523,151.911,172.737,129.759,172.414,124.539
old,80.59,143.889,100.738,148.016,158.169,108.948,336.207,123.505
one,130.892,140.336,118.784,91.815,107.18,111.397,133.621,123.307
mostly,34.708,140.218,109.678,116.855,149.844,120.578,168.103,123.227
more,128.272,135.126,120.605,109.621,114.464,83.854,168.103,122.511
girl,73.838,21.198,201.973,42.847,22.893,192.802,146.552,121.955
as,116.502,142.113,106.615,127.984,133.195,106.5,176.724,121.716
mine,37.971,139.27,132.028,51.75,46.826,69.164,51.724,120.642
director,83.31,148.626,122.508,50.081,61.394,59.983,21.552,118.774
wife,118.096,24.633,213.479,28.379,19.771,56.923,60.345,117.859
