user_id,has_pronouns,followers_sampled,raw_match,raw_non_match,percent_match,percent_non_match
57731989,1,603,112,491,0.1857379767827529,0.814262023217247
1057363530935099398,0,347,347,0,1.0,0.0
721708324480135168,1,411,126,285,0.30656934306569344,0.6934306569343066
1337044551249301505,0,204,188,16,0.9215686274509803,0.0784313725490196
1099187461165465601,1,945,155,790,0.164021164021164,0.8359788359788359
15891995,0,1000,956,44,0.956,0.044
355990890,1,732,41,691,0.056010928961748634,0.9439890710382514
1173302084923510784,1,1000,175,825,0.175,0.825
192754873,0,701,649,52,0.9258202567760342,0.07417974322396577
1234297475378315265,1,113,34,79,0.3008849557522124,0.6991150442477876
1279051208318222338,0,153,152,1,0.9934640522875817,0.006535947712418301
138125551,1,1000,127,873,0.127,0.873
1097615312013443073,1,147,38,109,0.2585034013605442,0.7414965986394558
1220576561780281344,0,109,109,0,1.0,0.0
15384099,1,265,65,200,0.24528301886792453,0.7547169811320755
1014329312286158848,0,140,136,4,0.9714285714285714,0.02857142857142857
1229119914855845893,1,334,55,279,0.16467065868263472,0.8353293413173652
1517643511008567296,0,306,304,2,0.9934640522875817,0.006535947712418301
263962408,1,1000,123,877,0.123,0.877
1244689812,0,19,18,1,0.9473684210526315,0.05263157894736842
506531130,1,1000,17,983,0.017,0.983
796719483243130881,0,1000,965,35,0.965,0.035
1046281357075386369,1,313,16,297,0.051118210862619806,0.9488817891373802
475460686,0,659,656,3,0.9954476479514416,0.004552352048558422
866821697411756032,1,1000,161,839,0.161,0.839
237996762,0,281,281,0,1.0,0.0
68243677,1,1000,169,831,0.169,0.831
1350129238104485888,0,142,142,0,1.0,0.0
1260313111162208257,1,74,9,65,0.12162162162162163,0.8783783783783784
1049070992444870656,0,119,119,0,1.0,0.0
1044718050006757387,1,196,16,180,0.08163265306122448,0.9183673469387755
3253608432,0,31,30,1,0.967741935483871,0.03225806451612903
1066082226,1,1000,108,892,0.108,0.892
354719909,0,578,573,5,0.9913494809688581,0.00865051903114187
68008892,1,1000,95,905,0.095,0.905
71001523,0,762,710,52,0.931758530183727,0.06824146981627296
952357145479122946,1,221,17,204,0.07692307692307693,0.9230769230769231
1197903253553459206,1,806,198,608,0.2456575682382134,0.7543424317617866
1509753112180965376,0,208,208,0,1.0,0.0
1958879893,0,408,408,0,1.0,0.0
1320822908978188290,1,208,16,192,0.07692307692307693,0.9230769230769231
1160615174157434881,0,217,217,0,1.0,0.0
145074229,0,259,259,0,1.0,0.0
251067495,1,1000,109,891,0.109,0.891
410833813,0,1000,977,23,0.977,0.023
1018105278242254854,1,1000,7,993,0.007,0.993
877301431136641025,0,178,175,3,0.9831460674157303,0.016853932584269662
147038205,1,301,6,295,0.019933554817275746,0.9800664451827242
1330620971590434817,0,309,292,17,0.9449838187702265,0.05501618122977346
1025867276623331328,1,317,66,251,0.2082018927444795,0.7917981072555205
1508871182249979904,0,192,192,0,1.0,0.0
463198777,1,1000,48,952,0.048,0.952
1163277639328489472,0,128,121,7,0.9453125,0.0546875
1248482223025582082,1,183,8,175,0.04371584699453552,0.9562841530054644
386020893,0,228,226,2,0.9912280701754386,0.008771929824561403
279753108,1,133,16,117,0.12030075187969924,0.8796992481203008
3376213325,0,1000,964,36,0.964,0.036
2867659051,1,983,93,890,0.09460834181078331,0.9053916581892166
482480501,0,191,181,10,0.9476439790575916,0.05235602094240838
26117763,1,252,5,247,0.01984126984126984,0.9801587301587301
79356087,0,333,331,2,0.993993993993994,0.006006006006006006
29757971,1,1000,62,938,0.062,0.938
1314757852452589568,0,166,160,6,0.963855421686747,0.03614457831325301
2967114797,1,50,1,49,0.02,0.98
1527018083428220928,0,21,21,0,1.0,0.0
1348173782138056705,1,325,35,290,0.1076923076923077,0.8923076923076924
1037867618118627328,0,519,507,12,0.976878612716763,0.023121387283236993
846087950,1,271,89,182,0.3284132841328413,0.6715867158671587
2241169429,0,482,441,41,0.9149377593360996,0.08506224066390042
825028810877853696,0,330,327,3,0.990909090909091,0.00909090909090909
262867735,1,707,100,607,0.14144271570014144,0.8585572842998586
49273415,0,391,374,17,0.9565217391304348,0.043478260869565216
19264509,1,778,101,677,0.12982005141388175,0.8701799485861182
19655644,0,226,221,5,0.9778761061946902,0.022123893805309734
1346627522801381380,1,272,80,192,0.29411764705882354,0.7058823529411765
729416204,0,1000,996,4,0.996,0.004
1406519496,1,389,86,303,0.2210796915167095,0.7789203084832905
704599983304024064,0,25,25,0,1.0,0.0
316023499,1,577,203,374,0.35181975736568455,0.6481802426343154
716803705,0,390,370,20,0.9487179487179487,0.05128205128205128
1429540179640037377,1,333,34,299,0.1021021021021021,0.8978978978978979
1835035194,0,1000,978,22,0.978,0.022
1344167592789852161,1,170,18,152,0.10588235294117647,0.8941176470588236
890047387779125248,0,64,61,3,0.953125,0.046875
2415313494,1,1000,78,922,0.078,0.922
703731059008126978,0,355,334,21,0.9408450704225352,0.059154929577464786
635045836,1,397,29,368,0.07304785894206549,0.9269521410579346
989657895313772544,0,103,102,1,0.9902912621359223,0.009708737864077669
2518354518,1,342,83,259,0.24269005847953215,0.7573099415204678
105533808,0,99,99,0,1.0,0.0
1833407366,1,208,76,132,0.36538461538461536,0.6346153846153846
452754055,0,219,218,1,0.9954337899543378,0.0045662100456621
2648324967,1,583,74,509,0.1269296740994854,0.8730703259005146
16607787,0,337,330,7,0.9792284866468842,0.020771513353115726
322711193,1,1000,34,966,0.034,0.966
2865048388,0,35,35,0,1.0,0.0
191695844,1,1000,170,830,0.17,0.83
88003707,0,1000,970,30,0.97,0.03
39079123,1,1000,243,757,0.243,0.757
19080952,0,245,243,2,0.9918367346938776,0.00816326530612245
907459673040801792,1,1000,150,850,0.15,0.85
2209302388,0,186,184,2,0.989247311827957,0.010752688172043012
4804677374,1,1000,171,829,0.171,0.829
1145190287452647424,0,20,20,0,1.0,0.0
23483984,1,542,103,439,0.1900369003690037,0.8099630996309963
1510627779150237698,0,85,85,0,1.0,0.0
179699738,1,1000,137,863,0.137,0.863
1501887220587900931,0,90,87,3,0.9666666666666667,0.03333333333333333
27473742,1,294,24,270,0.08163265306122448,0.9183673469387755
1093108454376402950,0,72,72,0,1.0,0.0
1185761099347566594,1,1000,182,818,0.182,0.818
1343384174,0,753,739,14,0.9814077025232404,0.01859229747675963
1119106667071688709,1,127,11,116,0.08661417322834646,0.9133858267716536
191495678,0,1000,986,14,0.986,0.014
1391010187121676291,1,222,80,142,0.36036036036036034,0.6396396396396397
901638715877072902,0,43,43,0,1.0,0.0
890926161949315072,1,1000,145,855,0.145,0.855
1395154439170936835,0,88,87,1,0.9886363636363636,0.011363636363636364
94627935,1,1000,100,900,0.1,0.9
2782013469,0,852,852,0,1.0,0.0
2741306168,1,350,28,322,0.08,0.92
62859515,0,1000,993,7,0.993,0.007
3409339865,1,206,48,158,0.23300970873786409,0.7669902912621359
4578744912,0,303,303,0,1.0,0.0
38935120,1,1000,33,967,0.033,0.967
20040284,0,398,380,18,0.9547738693467337,0.04522613065326633
763313223055597568,1,765,145,620,0.1895424836601307,0.8104575163398693
1453207977188421634,0,1000,996,4,0.996,0.004
95875170,1,870,239,631,0.2747126436781609,0.725287356321839
1491448863751823360,0,532,528,4,0.9924812030075187,0.007518796992481203
1021372159879499777,1,141,19,122,0.1347517730496454,0.8652482269503546
1182026403795148801,0,318,316,2,0.9937106918238994,0.006289308176100629
952280083175301120,1,680,165,515,0.2426470588235294,0.7573529411764706
1258429032867258368,1,195,5,190,0.02564102564102564,0.9743589743589743
1434997671710711809,0,20,20,0,1.0,0.0
1536701636839620608,1,511,131,380,0.2563600782778865,0.7436399217221135
1252852550,0,1000,996,4,0.996,0.004
15495095,1,390,42,348,0.1076923076923077,0.8923076923076924
933187133103226880,0,1000,1000,0,1.0,0.0
904816056820105216,1,1000,125,875,0.125,0.875
2676050844,1,783,88,695,0.1123882503192848,0.8876117496807152
268560939,0,746,746,0,1.0,0.0
1574206560,1,282,39,243,0.13829787234042554,0.8617021276595744
1392857544851345415,0,92,92,0,1.0,0.0
1378956012787535872,1,75,5,70,0.06666666666666667,0.9333333333333333
384173651,0,1000,994,6,0.994,0.006
770320689618415616,1,1000,64,936,0.064,0.936
23258069,0,130,126,4,0.9692307692307692,0.03076923076923077
2912008965,1,998,75,923,0.07515030060120241,0.9248496993987976
1223112722683850752,0,1000,998,2,0.998,0.002
1451282169251442689,1,326,24,302,0.0736196319018405,0.9263803680981595
18640610,0,525,518,7,0.9866666666666667,0.013333333333333334
115875996,0,1000,988,12,0.988,0.012
1244791,1,538,80,458,0.14869888475836432,0.8513011152416357
490021309,0,1000,998,2,0.998,0.002
779883430351732737,1,417,87,330,0.20863309352517986,0.7913669064748201
1306853698333675521,0,170,169,1,0.9941176470588236,0.0058823529411764705
151320340,1,767,84,683,0.10951760104302477,0.8904823989569752
633982424,0,1000,969,31,0.969,0.031
1094847064679346177,1,466,107,359,0.2296137339055794,0.7703862660944206
829929686486568960,0,459,452,7,0.9847494553376906,0.015250544662309368
15620050,1,723,21,702,0.029045643153526972,0.970954356846473
1507855765763239936,0,452,447,5,0.9889380530973452,0.011061946902654867
37852525,1,1000,128,872,0.128,0.872
584485224,0,810,806,4,0.9950617283950617,0.0049382716049382715
618449076,1,311,16,295,0.05144694533762058,0.9485530546623794
909601633,0,302,302,0,1.0,0.0
60437219,1,822,53,769,0.06447688564476886,0.9355231143552312
41643941,0,95,95,0,1.0,0.0
1496529208411144195,0,10,10,0,1.0,0.0
172566424,1,694,58,636,0.08357348703170028,0.9164265129682997
2361774048,0,301,300,1,0.9966777408637874,0.0033222591362126247
18515201,1,74,2,72,0.02702702702702703,0.972972972972973
1887188364,0,308,286,22,0.9285714285714286,0.07142857142857142
1479367256257622017,1,92,16,76,0.17391304347826086,0.8260869565217391
1192699412532756480,0,480,444,36,0.925,0.075
120369828,1,754,89,665,0.11803713527851459,0.8819628647214854
1113187052693020672,0,69,66,3,0.9565217391304348,0.043478260869565216
460740458,1,1000,73,927,0.073,0.927
815599724,0,408,384,24,0.9411764705882353,0.058823529411764705
17168776,1,966,81,885,0.08385093167701864,0.9161490683229814
395488024,0,281,278,3,0.9893238434163701,0.010676156583629894
2752161299,1,767,111,656,0.14471968709256844,0.8552803129074316
3021859992,0,353,352,1,0.9971671388101983,0.0028328611898017
208536614,1,471,28,443,0.059447983014861996,0.940552016985138
113463401,0,253,252,1,0.9960474308300395,0.003952569169960474
3134068107,1,67,3,64,0.04477611940298507,0.9552238805970149
1288878416457015299,0,173,167,6,0.9653179190751445,0.03468208092485549
1135642131538665473,1,199,13,186,0.06532663316582915,0.9346733668341709
1180512132565258246,0,152,152,0,1.0,0.0
560542589,1,245,36,209,0.1469387755102041,0.8530612244897959
57927934,0,672,665,7,0.9895833333333334,0.010416666666666666
1147583655247851527,1,957,80,877,0.08359456635318704,0.9164054336468129
85587123,0,168,168,0,1.0,0.0
402896033,1,655,168,487,0.2564885496183206,0.7435114503816794
158291721,0,181,174,7,0.9613259668508287,0.03867403314917127
763528572111761412,1,1000,46,954,0.046,0.954
1504287758,0,360,355,5,0.9861111111111112,0.013888888888888888
548003863,1,372,23,349,0.06182795698924731,0.9381720430107527
1730578190,0,306,304,2,0.9934640522875817,0.006535947712418301
802981867708411905,1,296,38,258,0.12837837837837837,0.8716216216216216
137493398,0,1000,1000,0,1.0,0.0
20394174,1,707,53,654,0.07496463932107496,0.925035360678925
1513644274545483776,0,51,50,1,0.9803921568627451,0.0196078431372549
59304522,1,277,13,264,0.04693140794223827,0.9530685920577617
856586869,0,730,725,5,0.9931506849315068,0.00684931506849315
1128782458974031872,1,424,29,395,0.06839622641509434,0.9316037735849056
875298567895879681,0,433,418,15,0.9653579676674365,0.03464203233256351
251489816,1,893,161,732,0.18029115341545351,0.8197088465845465
450043664,0,792,710,82,0.8964646464646465,0.10353535353535354
581458012,1,1000,105,895,0.105,0.895
1224474704565678082,0,182,181,1,0.9945054945054945,0.005494505494505495
79661356,1,1000,50,950,0.05,0.95
1306644323660947461,0,34,33,1,0.9705882352941176,0.029411764705882353
2312504473,1,189,23,166,0.12169312169312169,0.8783068783068783
745415797955235840,0,800,790,10,0.9875,0.0125
9890872,1,1000,32,968,0.032,0.968
1402587671944257538,0,77,76,1,0.987012987012987,0.012987012987012988
1227564959560695808,1,1000,127,873,0.127,0.873
2937601316,0,610,607,3,0.9950819672131147,0.004918032786885246
72283937,1,669,52,617,0.07772795216741404,0.922272047832586
158580776,0,26,26,0,1.0,0.0
815960263077888000,1,1000,308,692,0.308,0.692
540215719,0,164,164,0,1.0,0.0
378149124,1,239,16,223,0.06694560669456066,0.9330543933054394
57423680,0,500,473,27,0.946,0.054
39890575,1,1000,142,858,0.142,0.858
728313317283008512,0,1000,949,51,0.949,0.051
251184816,1,202,13,189,0.06435643564356436,0.9356435643564357
29458419,0,240,237,3,0.9875,0.0125
2311478010,0,939,906,33,0.9648562300319489,0.03514376996805112
2896549421,1,498,55,443,0.11044176706827309,0.8895582329317269
192322172,0,431,430,1,0.9976798143851509,0.002320185614849188
77066018,1,464,52,412,0.11206896551724138,0.8879310344827587
2580359500,0,315,315,0,1.0,0.0
988540174236729344,1,519,81,438,0.15606936416184972,0.8439306358381503
19104847,0,182,181,1,0.9945054945054945,0.005494505494505495
2649983658,1,1000,20,980,0.02,0.98
1497074700,0,166,164,2,0.9879518072289156,0.012048192771084338
1384531347612463109,1,1000,229,771,0.229,0.771
54424983,0,1000,971,29,0.971,0.029
375984883,1,293,62,231,0.21160409556313994,0.78839590443686
469499707,0,1000,912,88,0.912,0.088
273443844,1,583,51,532,0.08747855917667238,0.9125214408233276
185869356,0,569,544,25,0.9560632688927944,0.043936731107205626
294206560,1,334,12,322,0.03592814371257485,0.9640718562874252
1172661863810850816,0,188,173,15,0.9202127659574468,0.0797872340425532
49931787,1,1000,23,977,0.023,0.977
1304516707910905856,0,567,564,3,0.9947089947089947,0.005291005291005291
1067445684142522369,1,91,19,72,0.2087912087912088,0.7912087912087912
1165236952926425089,0,14,14,0,1.0,0.0
622120706,1,204,11,193,0.05392156862745098,0.946078431372549
2315718056,0,145,144,1,0.993103448275862,0.006896551724137931
378743397,1,585,54,531,0.09230769230769231,0.9076923076923077
1330299406046949379,1,805,313,492,0.38881987577639754,0.6111801242236025
1518676385652297728,0,546,546,0,1.0,0.0
23449948,1,726,246,480,0.33884297520661155,0.6611570247933884
868958067458703360,0,52,52,0,1.0,0.0
502246310,1,412,51,361,0.12378640776699029,0.8762135922330098
402031331,0,1000,984,16,0.984,0.016
2369982852,1,1000,178,822,0.178,0.822
1325887824252588038,0,61,61,0,1.0,0.0
813083028796870657,1,1000,216,784,0.216,0.784
1178693965320728576,0,37,36,1,0.972972972972973,0.02702702702702703
38416475,1,894,133,761,0.1487695749440716,0.8512304250559284
848038114593353728,0,148,145,3,0.9797297297297297,0.02027027027027027
555395944,1,1000,111,889,0.111,0.889
864157777211531264,0,12,12,0,1.0,0.0
743183856,1,1000,135,865,0.135,0.865
371121089,0,367,363,4,0.989100817438692,0.010899182561307902
824451517151379458,1,56,2,54,0.03571428571428571,0.9642857142857143
1324908613454934016,0,227,220,7,0.9691629955947136,0.030837004405286344
1482071221,1,419,11,408,0.026252983293556086,0.9737470167064439
489115006,0,35,35,0,1.0,0.0
983710864493527040,1,1000,121,879,0.121,0.879
3379443423,0,1000,958,42,0.958,0.042
525576807,0,374,373,1,0.9973262032085561,0.00267379679144385
1102053602271477760,1,250,64,186,0.256,0.744
937660764428652545,0,364,352,12,0.967032967032967,0.03296703296703297
900305060,1,1000,69,931,0.069,0.931
346879101,0,158,148,10,0.9367088607594937,0.06329113924050633
329173253,1,251,27,224,0.10756972111553785,0.8924302788844621
3381644753,0,219,219,0,1.0,0.0
1130106910798016512,1,308,120,188,0.38961038961038963,0.6103896103896104
2178375739,0,359,335,24,0.9331476323119777,0.06685236768802229
864229313083842565,1,990,287,703,0.2898989898989899,0.7101010101010101
538515472,0,694,682,12,0.9827089337175793,0.01729106628242075
30951714,1,252,36,216,0.14285714285714285,0.8571428571428571
1329562722380386305,0,1000,946,54,0.946,0.054
779869353403641856,1,316,93,223,0.29430379746835444,0.7056962025316456
1046493124045008898,0,73,73,0,1.0,0.0
18490021,1,1000,406,594,0.406,0.594
885288816,0,86,82,4,0.9534883720930233,0.046511627906976744
3060376346,1,1000,47,953,0.047,0.953
2502119562,0,1000,996,4,0.996,0.004
3113337816,1,296,18,278,0.060810810810810814,0.9391891891891891
583396925,0,347,347,0,1.0,0.0
3642280156,0,388,388,0,1.0,0.0
1051130964,1,244,27,217,0.11065573770491803,0.889344262295082
779339008048365568,0,254,254,0,1.0,0.0
806128083124162560,1,1000,204,796,0.204,0.796
904051969,0,179,167,12,0.9329608938547486,0.0670391061452514
2509276794,1,618,84,534,0.13592233009708737,0.8640776699029126
1151217184695152640,0,199,190,9,0.9547738693467337,0.04522613065326633
21218130,1,1000,27,973,0.027,0.973
603146311,0,494,490,4,0.9919028340080972,0.008097165991902834
120941602,1,1000,86,914,0.086,0.914
845698845686280192,0,227,224,3,0.986784140969163,0.013215859030837005
191719467,1,334,72,262,0.2155688622754491,0.7844311377245509
4885770726,0,812,811,1,0.9987684729064039,0.0012315270935960591
2278737420,1,669,71,598,0.10612855007473841,0.8938714499252616
1367602229868453891,0,1000,1000,0,1.0,0.0
58561666,1,276,40,236,0.14492753623188406,0.855072463768116
603497871,0,618,617,1,0.9983818770226537,0.0016181229773462784
