bigram,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
public health,3013,75,256,13,2,11,3,360
open to,3009,91,56,22,15,13,6,203
husband of,3007,101,0,0,1,0,0,102
if you’re,3006,61,89,23,12,11,7,203
life i,3006,32,43,4,1,1,0,81
our mission,3006,0,1,0,0,0,0,1
i guess,3004,154,116,37,28,18,3,356
follow this,3003,4,4,1,2,1,0,12
and an,3001,66,65,9,4,2,3,149
join the,3001,22,21,3,4,4,1,55
the united,2996,14,10,2,1,1,0,28
san francisco,2993,49,41,5,1,3,0,99
hi i'm,2991,119,215,66,33,48,15,496
avid reader,2987,45,206,5,1,8,1,266
down to,2986,36,32,8,6,7,2,91
i'm here,2985,62,51,18,10,6,2,149
voice actor,2982,377,146,48,61,41,8,681
the universe,2975,61,66,7,6,13,2,155
look at,2974,62,67,9,2,16,1,157
christian husband,2969,11,0,0,0,0,0,11
things that,2967,82,88,9,4,13,0,196
sports fanatic,2961,25,16,0,0,1,0,42
son of,2957,69,3,2,2,0,1,77
not be,2955,63,66,6,5,9,2,151
my dog,2952,54,193,7,4,8,6,272
wife of,2951,2,147,3,1,7,2,162
love music,2949,35,35,6,3,4,0,83
football and,2947,17,16,2,0,0,0,35
a bit,2945,112,120,29,13,17,6,297
known as,2937,65,70,17,11,20,2,185
i hope,2937,64,70,10,13,11,3,171
an artist,2935,85,123,40,22,29,13,312
craft beer,2934,61,57,2,2,3,0,125
banner by,2931,557,248,137,83,96,26,1147
pro wrestling,2927,120,37,7,8,8,1,181
good vibes,2927,36,39,10,9,10,1,105
and to,2926,38,48,6,6,2,0,100
new yorker,2924,77,158,2,1,7,0,245
born raised,2914,33,90,1,0,5,1,130
views expressed,2912,126,119,4,3,10,1,263
world is,2909,46,56,8,7,3,2,122
st louis,2909,29,30,3,0,1,1,64
got a,2906,54,73,10,4,12,0,153
you can't,2903,41,55,4,3,1,0,104
i only,2902,64,94,13,4,16,0,191
of 1,2896,15,45,1,2,2,0,65
and i’m,2893,59,96,18,14,16,5,208
30 years,2890,16,28,1,0,4,1,50
army vet,2888,38,27,4,0,0,0,69
enthusiast and,2887,124,95,21,7,13,4,264
college of,2885,27,50,4,1,2,1,85
change the,2883,30,50,5,1,2,2,90
enjoy the,2883,20,34,3,2,5,2,66
tweet us,2881,0,0,0,0,0,0,0
the rest,2879,43,61,5,4,2,1,116
add me,2878,49,16,7,3,5,1,81
about me,2876,37,62,11,4,11,1,126
big fan,2872,111,152,18,6,10,1,298
http //facebook,2872,3,19,1,1,0,0,24
for business,2871,90,47,10,7,10,0,164
wants to,2870,82,77,14,13,11,5,202
enough to,2869,64,75,7,7,7,0,160
the american,2869,26,21,2,0,0,0,49
creative director,2868,73,57,11,3,6,0,150
my passion,2866,31,49,4,5,5,0,94
give me,2861,65,74,12,6,11,3,171
