bigram,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
owner and,1861,22,22,2,2,1,0,49
the south,1860,20,41,3,0,3,1,68
singer songwriter,1859,8,27,1,2,3,0,41
available for,1858,53,71,14,7,11,1,157
building a,1858,18,16,2,0,3,0,39
of course,1855,28,38,2,1,3,0,72
stuff and,1853,147,90,25,14,14,4,294
our country,1851,1,7,1,0,0,0,9
designer and,1850,99,67,17,6,11,1,201
life of,1849,14,21,2,1,1,0,39
do your,1849,8,10,3,3,0,0,24
i can’t,1848,29,52,9,8,11,0,109
laid back,1848,10,1,1,0,1,0,13
an independent,1847,5,3,2,0,2,0,12
gaming and,1845,76,27,9,9,5,2,128
my only,1840,23,46,6,3,6,0,84
en la,1839,6,4,0,0,1,0,11
design and,1838,55,27,3,3,2,2,92
it and,1838,25,15,2,3,2,1,48
san antonio,1838,11,17,1,0,1,0,30
twitch partner,1836,103,114,6,8,7,0,238
phd in,1836,65,120,5,7,12,1,210
peace love,1836,17,30,2,3,4,0,56
willing to,1835,42,39,8,3,7,0,99
working with,1835,19,26,3,0,1,0,49
founded in,1835,1,1,0,0,0,0,2
pretty much,1834,58,52,14,7,10,0,141
don't be,1833,54,43,14,5,7,2,125
public schools,1833,10,35,0,1,1,0,47
having a,1831,44,56,6,2,17,1,126
a regular,1831,28,23,3,0,3,1,58
me gusta,1831,5,8,0,2,2,0,17
talking about,1830,70,87,16,6,9,0,188
cat lady,1828,2,379,4,0,18,1,404
the making,1828,21,40,8,3,3,0,75
is that,1827,28,47,8,2,5,0,90
a wife,1824,4,30,0,0,0,0,34
let the,1823,16,27,4,0,5,0,52
collection of,1823,17,26,4,2,2,0,51
catch me,1821,34,37,7,3,4,0,85
in between,1821,25,42,3,3,3,1,77
us to,1820,8,8,0,0,1,0,17
and beyond,1816,9,14,2,0,0,1,26
wear a,1813,57,146,18,4,11,0,236
to start,1812,24,25,3,3,0,2,57
to win,1812,12,17,4,0,1,0,34
father son,1812,8,1,0,2,0,0,11
freelance writer,1811,74,104,8,6,8,0,200
end of,1811,26,39,9,1,6,0,81
on me,1811,21,41,3,1,6,5,77
be in,1811,29,36,3,3,4,0,75
mine alone,1810,114,93,5,3,3,1,219
research and,1810,18,17,0,0,0,0,35
track field,1809,1,5,0,0,0,0,6
and mom,1806,2,77,2,0,3,1,85
in america,1805,19,21,3,1,5,0,49
make your,1803,14,18,1,3,1,0,37
of humor,1801,20,41,2,0,4,1,68
the planet,1800,26,53,4,1,2,1,87
guy that,1800,38,1,0,4,0,1,44
editor for,1799,105,104,21,6,6,0,242
who enjoys,1798,51,28,5,6,3,0,93
a young,1798,23,18,2,0,1,0,44
don’t take,1796,14,29,6,0,3,0,52
take it,1794,19,32,4,2,7,0,64
all kinds,1792,45,32,8,3,4,2,94
just for,1792,22,24,1,2,7,1,57
business email,1788,103,69,19,11,15,2,219
the views,1787,78,51,4,3,1,0,137
and dad,1787,61,2,0,0,1,1,65
a way,1787,17,29,1,0,0,0,47
place for,1786,31,37,9,5,7,2,91
on it,1786,21,41,0,8,3,0,73
of experience,1786,8,2,4,0,1,0,15
is like,1783,11,23,5,4,2,0,45
join me,1782,20,27,6,2,2,0,57
a os,1780,1,4,0,1,0,0,6
check me,1779,25,16,4,2,2,2,51
the constitution,1778,3,7,0,0,0,0,10
opinions and,1777,79,67,8,3,4,0,161
im just,1776,15,38,6,7,8,0,74
to grow,1774,17,19,1,0,2,0,39
and so,1773,30,56,6,2,8,1,103
i've been,1773,31,39,3,6,4,0,83
out there,1772,32,22,7,2,5,0,68
girl dad,1772,32,0,0,0,0,0,32
pursuit of,1772,9,18,0,0,1,0,28
views mine,1771,146,245,14,8,16,1,430
a r,1771,13,23,0,1,1,1,39
professor at,1770,86,71,1,4,5,1,168
may not,1769,45,45,11,5,5,3,114
and support,1764,9,25,2,3,0,1,40
a lover,1763,26,50,4,2,1,0,83
guy with,1763,63,1,0,1,0,0,65
out our,1763,4,8,0,0,1,0,13
maga kag,1763,0,0,0,0,0,0,0
//www hudl,1763,0,0,0,0,0,0,0
r b,1762,13,12,6,2,0,0,33
south carolina,1762,19,8,1,2,0,1,31
followed by,1759,12,22,1,0,2,0,37
the road,1756,8,19,5,1,1,0,34
queen of,1755,7,155,7,3,25,2,199
see you,1754,15,33,5,2,1,0,56
29 11,1754,3,6,0,1,0,0,10
en el,1753,1,3,0,0,1,0,5
is one,1752,14,14,3,3,0,0,34
just some,1749,103,44,8,13,6,4,178
on tiktok,1749,40,91,16,3,12,1,163
free speech,1748,7,6,0,0,0,1,14
single mom,1746,2,91,2,0,2,0,97
fan for,1746,10,14,1,2,0,0,27
hi i’m,1744,65,115,27,17,24,5,253
is out,1743,38,51,7,5,1,2,104
everything else,1743,33,36,7,4,3,1,84
can find,1742,21,37,10,5,8,3,84
the moment,1740,25,29,4,4,5,1,68
life coach,1740,10,13,0,0,2,0,25
hope you,1738,32,36,13,7,5,0,93
university alum,1737,9,24,0,0,3,1,37
community of,1737,5,2,0,0,0,0,7
founder and,1736,26,14,1,2,1,0,44
my work,1735,34,63,24,6,17,2,146
full service,1734,0,1,0,0,0,0,1
to draw,1733,94,127,34,18,33,5,311
you for,1733,24,32,6,2,2,0,66
believes in,1732,19,34,0,2,1,1,57
take the,1730,13,22,6,3,1,2,47
a nice,1729,29,40,7,3,6,1,86
my first,1728,27,40,6,3,3,2,81
also love,1728,35,30,4,2,3,2,76
of truth,1726,9,19,2,1,0,1,32
vibes only,1725,16,27,2,0,4,1,50
more info,1724,13,25,4,8,2,1,53
lifelong learner,1723,17,77,0,2,1,2,99
always a,1723,15,46,7,2,8,0,78
editor at,1722,93,131,7,3,5,1,240
not here,1721,21,48,6,1,6,0,82
in peace,1721,13,24,2,1,3,0,43
your source,1721,0,1,0,0,0,0,1
a family,1720,5,19,2,1,0,0,27
hi i,1719,49,67,20,5,11,3,155
open minded,1719,10,15,0,1,2,0,28
not reflect,1718,87,102,15,7,9,3,223
your best,1718,10,15,2,5,2,0,34
wake up,1717,10,27,2,2,6,0,47
our community,1717,1,3,0,0,0,0,4
and making,1716,53,30,6,4,8,1,102
work and,1716,18,26,0,3,4,0,51
and fun,1716,21,10,6,3,4,1,45
but my,1713,33,55,5,4,7,2,106
feel like,1712,32,53,7,7,2,1,102
of what,1712,32,30,2,1,3,0,68
peace and,1711,9,33,0,2,3,1,48
i sell,1710,19,33,7,3,2,0,64
inspired by,1710,19,32,3,2,0,2,58
a wonderful,1710,19,19,0,1,0,0,39
of everything,1708,37,46,10,3,6,1,103
c/o 2023,1708,3,4,1,0,0,0,8
artist writer,1707,89,132,35,16,42,9,323
if your,1707,21,26,1,2,1,1,52
to buy,1707,18,17,3,4,4,0,46
of 2022,1705,19,16,2,2,0,0,39
maker of,1704,102,102,13,8,17,2,244
my page,1704,19,31,7,4,3,3,67
south florida,1702,6,9,0,0,2,1,18
tweets and,1701,51,87,5,3,3,0,149
for what,1701,17,26,0,0,2,0,45
love yourself,1700,12,52,2,3,5,1,75
founder ceo,1700,11,24,0,1,1,0,37
let's go,1700,15,14,2,2,2,1,36
don’t like,1699,25,32,7,1,4,0,69
live on,1699,22,32,6,1,0,2,63
girl with,1698,2,110,3,0,19,1,135
under the,1698,30,41,10,4,3,0,88
high quality,1698,5,9,1,1,2,0,18
stand with,1696,46,43,11,2,8,0,110
had a,1696,32,55,8,2,8,0,105
animals and,1693,24,56,5,3,6,1,95
for new,1692,25,25,4,5,2,0,61
truth and,1692,3,25,0,0,1,0,29
here http,1691,46,23,7,5,3,1,85
pronouns are,1689,103,113,64,17,30,15,342
// //,1688,65,141,25,11,30,2,274
my dreams,1688,20,20,2,0,3,0,45
specializes in,1688,6,6,0,1,2,0,15
do is,1687,20,44,10,7,12,3,96
you all,1686,34,30,4,7,2,0,77
writer editor,1685,81,205,15,4,10,1,316
be blocked,1685,109,71,22,13,13,7,235
rt endorsement,1683,59,60,4,3,1,1,128
live music,1683,23,46,2,0,2,0,73
justice and,1682,37,58,8,0,5,1,109
- a,1682,32,39,11,5,3,0,90
and it,1682,33,29,5,1,5,1,74
technology and,1681,40,8,0,3,2,0,53
blocked by,1680,38,35,5,1,1,1,81
artist /,1679,55,54,21,9,17,2,158
collector of,1676,56,71,10,1,8,2,148
head football,1676,0,0,0,0,0,0,0
give a,1675,13,26,5,1,1,0,46
and technology,1675,20,17,2,2,2,0,43
learning to,1673,60,67,11,4,6,3,151
my time,1673,27,43,9,0,3,1,83
only here,1671,12,39,7,2,3,0,63
join our,1671,3,4,2,0,1,1,11
made by,1670,110,77,21,17,21,2,248
be nice,1670,67,72,14,1,13,0,167
loves the,1670,18,23,2,3,2,0,48
one and,1668,24,32,0,2,2,0,60
experience in,1668,3,7,2,1,0,0,13
a christian,1668,4,5,0,0,0,0,9
to tell,1667,26,35,5,2,4,1,73
above all,1666,13,30,2,0,2,1,48
hard work,1665,3,7,0,0,0,0,10
life one,1664,13,26,3,4,3,1,50
leader of,1662,33,18,3,1,3,0,58
stand for,1661,8,18,4,2,0,0,32
here and,1660,46,42,3,5,6,3,105
than the,1660,29,35,5,4,3,0,76
your home,1658,1,4,1,0,1,0,7
by grace,1657,1,11,0,0,2,0,14
never be,1656,21,23,3,2,6,0,55
boys basketball,1656,1,0,0,0,0,0,1
and his,1655,31,7,0,6,1,1,46
you may,1653,33,26,7,6,9,1,82
new friends,1650,36,25,9,4,7,0,81
in their,1649,17,11,9,2,4,0,43
to show,1647,30,27,4,6,2,0,69
be yourself,1647,19,12,1,1,4,1,38
fun loving,1647,10,7,1,1,0,0,19
the blue,1646,16,15,1,0,0,1,33
solutions for,1646,1,1,0,0,0,0,2
my main,1645,51,48,10,8,12,3,132
people are,1645,31,33,4,0,3,0,71
the largest,1645,1,4,0,0,0,0,5
of being,1643,33,42,7,7,4,0,93
know you,1643,17,28,4,4,2,1,56
i speak,1642,35,58,6,1,2,2,104
office of,1641,7,15,0,2,0,0,24
owned by,1640,37,68,9,2,4,1,121
teacher of,1640,24,62,4,1,1,0,92
no lists,1640,3,51,0,0,1,0,55
local news,1639,7,21,0,0,0,0,28
to myself,1638,20,53,9,1,5,0,88
back in,1638,30,32,2,1,7,0,72
producer of,1637,51,33,3,2,5,0,94
use code,1637,26,30,0,0,2,0,58
not for,1636,29,23,1,2,8,4,67
make sure,1636,17,15,2,3,1,0,38
to promote,1636,8,14,0,2,1,0,25
american patriot,1635,2,1,0,0,0,0,3
it will,1634,19,22,4,2,4,0,51
header by,1633,230,279,120,60,53,16,758
love animals,1632,2,41,0,0,3,0,46
coach for,1631,8,9,0,1,0,1,19
of science,1630,52,64,6,3,1,0,126
the king,1630,10,6,2,2,1,0,21
i mostly,1629,133,107,15,13,10,2,280
and mother,1629,1,37,1,0,2,0,41
a la,1629,2,7,1,1,0,1,12
game designer,1628,353,115,25,30,18,4,545
be better,1628,48,37,1,7,2,0,95
not that,1627,64,70,3,6,6,0,149
mom grandma,1627,0,32,0,0,1,0,33
taken by,1625,116,72,32,24,24,7,275
to die,1625,34,46,12,1,5,2,100
is on,1625,27,37,5,5,3,0,77
proud democrat,1625,23,34,0,0,0,0,57
is too,1623,21,29,3,0,4,0,57
football fan,1623,11,13,1,0,0,0,25
editor of,1621,59,83,3,2,7,2,156
don’t have,1620,28,38,6,6,3,0,81
book lover,1618,26,163,5,2,9,1,206
youtube https,1618,31,10,1,2,1,0,45
live a,1618,15,21,1,2,0,0,39
jeremiah 29,1618,3,5,0,1,0,0,9
how i,1617,27,24,3,3,3,0,60
the whole,1616,16,31,5,2,2,1,57
star trek,1615,144,132,14,7,9,4,310
be my,1615,33,35,8,3,5,2,86
for an,1615,27,19,2,5,4,0,57
for bookings,1615,12,7,4,2,5,0,30
law enforcement,1614,3,4,0,0,0,0,7
my music,1613,37,21,6,2,4,1,71
texas tech,1613,12,14,0,0,0,0,26
group of,1613,11,7,1,1,1,1,22
author and,1612,42,49,4,1,12,3,111
the word,1612,23,28,3,4,1,0,59
seeker of,1611,28,46,1,3,2,1,81
blm acab,1610,289,275,148,99,116,20,947
of law,1610,23,27,1,0,0,1,52
3 5,1610,8,6,0,0,1,0,15
made me,1609,18,28,2,3,11,1,63
streamer and,1608,64,35,13,15,14,3,144
community college,1608,14,46,1,2,2,1,66
3 0,1608,6,6,1,1,1,0,15
for any,1606,24,28,2,3,5,0,62
you live,1606,12,22,0,2,3,0,39
nice to,1603,57,61,9,4,11,2,144
and food,1603,39,49,7,4,3,3,105
and no,1602,32,46,3,3,7,0,91
if we,1602,18,33,3,1,3,0,58
me is,1601,18,30,2,0,4,0,54
a variety,1600,29,29,7,2,2,0,69
4 life,1600,14,24,4,0,3,1,46
a husband,1600,19,5,0,0,0,1,25
sign up,1600,9,9,1,0,1,0,20
stuff i,1599,102,51,13,8,17,1,192
a twitter,1598,34,37,11,4,7,2,95
investment advice,1598,3,2,0,0,0,0,5
just wanna,1597,32,59,12,7,9,0,119
the earth,1597,29,56,3,4,4,0,96
and digital,1596,31,33,6,0,5,6,81
also i,1595,60,62,19,13,10,3,167
i'm also,1595,41,38,11,3,6,2,101
and living,1595,14,18,5,2,0,0,39
i run,1594,68,61,9,4,8,2,152
a dog,1594,60,70,12,3,4,1,150
a dad,1594,50,3,2,2,1,0,58
and new,1594,18,20,2,1,2,0,43
is dedicated,1594,1,1,0,0,0,0,2
find a,1593,23,25,0,3,0,0,51
build a,1592,15,23,4,2,0,0,44
to earth,1592,6,11,3,2,0,0,22
able to,1591,16,21,2,3,5,0,47
with our,1591,4,7,4,0,1,0,16
ncaa id,1591,0,0,0,0,0,0,0
vp of,1590,54,55,1,1,1,0,112
available now,1590,34,35,2,1,3,0,75
baseball and,1590,33,20,0,1,0,1,55
right to,1589,13,22,3,3,5,0,46
public policy,1588,43,54,3,4,0,0,104
let’s go,1588,10,14,1,1,3,0,29
i always,1587,15,38,3,1,6,0,63
play with,1585,26,26,3,1,5,1,62
old school,1585,20,8,2,1,2,0,33
by me,1583,114,99,53,26,26,10,328
that likes,1583,66,32,18,6,9,1,132
visit our,1583,0,0,0,0,0,0,0
a fun,1582,28,23,4,2,3,1,61
for good,1581,46,45,0,0,3,1,95
the music,1581,22,30,2,3,3,1,61
d c,1581,9,29,2,0,2,0,42
of four,1581,17,18,1,0,0,0,36
assistant coach,1581,9,4,1,0,0,0,14
the journey,1580,8,16,2,2,3,0,31
white sox,1579,21,9,1,1,0,0,32
player and,1578,82,38,12,4,5,0,141
and being,1578,39,55,7,4,7,1,113
we need,1578,23,23,1,0,1,0,48
a single,1578,13,19,0,4,3,1,40
man with,1578,33,3,1,1,1,0,39
project manager,1577,37,54,1,1,2,0,95
in need,1577,20,31,2,2,4,0,59
to inspire,1577,3,12,1,0,2,0,18
half of,1575,86,108,14,7,18,1,234
born to,1575,17,29,3,2,3,1,55
in florida,1574,20,23,2,1,1,0,47
public relations,1574,13,23,0,1,2,0,39
makes you,1573,15,26,7,1,2,1,52
as much,1571,23,27,1,4,3,0,58
estate broker,1571,1,2,0,0,0,0,3
stream on,1570,54,32,12,2,7,6,113
along the,1569,26,19,2,2,3,0,52
time is,1568,18,18,1,0,6,0,43
mama to,1567,1,109,2,0,6,1,119
i said,1567,22,61,1,0,4,3,91
//open spotify,1566,34,11,3,1,0,1,50
when it,1566,15,23,4,4,0,0,46
to life,1566,13,24,1,1,1,0,40
just ask,1565,18,10,3,2,0,2,35
or a,1563,36,35,7,1,9,2,90
is now,1563,22,22,4,0,6,2,56
and travel,1563,10,30,0,1,1,1,43
i wish,1562,34,52,5,2,8,3,104
huge fan,1562,27,31,2,3,2,0,65
ig -,1562,8,14,4,0,1,0,27
is me,1561,25,43,2,4,7,0,81
and is,1561,23,21,4,3,4,2,57
and let,1561,9,24,0,2,0,0,35
beer and,1560,32,25,2,2,2,0,63
way too,1559,92,117,16,8,15,0,248
team all,1559,1,1,0,0,0,0,2
notre dame,1556,10,11,0,0,0,0,21
tv shows,1555,23,81,4,0,5,0,113
she is,1555,7,37,1,2,6,0,53
up the,1555,16,25,2,1,3,0,47
or die,1553,27,30,6,4,4,2,73
searching for,1553,21,29,1,4,4,0,59
in every,1552,11,27,2,3,4,0,47
live laugh,1552,9,21,5,4,5,0,44
coach -,1551,4,2,0,0,0,0,6
striving to,1550,22,39,2,0,2,0,65
new people,1550,27,11,2,2,1,0,43
and learning,1549,22,32,7,2,5,1,69
take me,1547,20,41,3,2,9,0,75
support the,1546,14,23,3,2,3,0,45
makeup artist,1544,3,45,7,3,14,2,74
a whole,1543,38,65,6,5,5,2,121
i teach,1542,47,78,6,0,2,2,135
out and,1542,24,24,2,4,1,0,55
a true,1542,14,23,0,0,2,0,39
can help,1542,8,13,1,0,0,0,22
true crime,1541,16,141,4,2,8,1,172
like that,1540,31,38,5,3,4,0,81
the original,1540,20,18,3,1,1,1,44
horror movies,1539,61,73,10,4,5,1,154
what they,1538,14,14,2,2,3,0,35
no longer,1537,29,33,5,1,4,0,72
now in,1536,33,33,2,2,2,0,72
news junkie,1535,16,36,2,2,0,0,56
and wife,1535,2,43,1,0,2,0,48
services for,1535,2,12,0,0,0,0,14
nerd and,1533,119,101,13,9,15,3,260
those of,1532,70,69,6,5,4,2,156
//www amazon,1532,29,29,6,1,2,1,68
working for,1531,28,52,0,0,2,0,82
you i,1531,27,30,0,2,2,1,62
you were,1531,15,37,4,1,2,1,60
too short,1531,11,18,0,2,3,1,35
and surrounding,1531,0,1,0,0,0,0,1
he him,1531,0,0,0,0,0,0,0
see me,1530,28,26,4,4,7,2,71
before you,1530,18,25,4,1,4,0,52
each day,1530,14,15,1,3,1,0,34
tampa bay,1529,13,9,0,1,1,0,24
live my,1528,13,29,3,3,0,0,48
lost in,1525,33,47,3,5,8,0,96
helping others,1524,12,10,0,1,1,0,24
live your,1523,4,18,4,1,0,0,27
twitter to,1522,26,37,3,4,5,1,76
now a,1522,27,22,1,6,4,0,60
to join,1522,14,19,2,2,2,0,39
contact us,1522,0,0,0,0,1,0,1
of good,1519,22,58,4,3,0,0,87
work at,1518,48,36,5,0,6,0,95
the human,1518,32,34,6,5,7,0,84
making a,1518,32,29,3,4,1,1,70
girl in,1517,1,107,1,2,10,0,121
that makes,1517,21,34,5,7,3,0,70
my onlyfans,1516,11,22,0,2,4,0,39
retired from,1516,10,9,1,0,2,0,22
make my,1515,31,38,5,6,7,0,87
a mask,1514,52,130,12,3,9,0,206
a lil,1514,28,55,10,9,12,0,114
school teacher,1512,36,75,4,2,2,0,119
in south,1512,14,10,1,0,0,0,25
good food,1511,16,42,5,1,2,0,66
the national,1511,8,10,2,0,1,0,21
not monitored,1511,0,2,0,0,0,0,2
write about,1510,57,95,6,3,4,0,165
to chat,1510,48,14,9,4,1,0,76
you just,1510,18,29,6,2,5,0,60
my ig,1509,9,11,2,2,1,0,25
https //opensea,1509,2,5,0,0,1,0,8
york city,1508,20,14,1,1,1,0,37
the fuck,1507,26,37,11,6,14,1,95
you feel,1505,9,26,4,1,1,0,41
registered nurse,1503,10,45,2,2,2,0,61
people i,1502,31,28,3,3,3,0,68
a bot,1502,23,22,3,1,2,0,51
defender of,1501,19,29,1,0,1,0,50
that we,1501,17,12,1,1,0,0,31
i miss,1500,33,66,3,2,10,2,116
the dark,1500,29,48,14,5,7,1,104
criminal justice,1500,20,39,6,2,3,0,70
are in,1500,19,17,5,2,6,0,49
what i’m,1497,38,84,10,4,13,1,150
i made,1497,63,44,9,6,8,3,133
the 1,1497,3,6,1,1,1,0,12
and ceo,1496,13,13,1,0,0,0,27
home to,1495,8,8,1,0,0,0,17
family country,1495,1,0,0,0,0,0,1
art of,1494,31,27,10,4,4,0,76
creator and,1493,59,26,14,5,3,1,108
learning and,1491,26,36,6,2,1,1,72
along with,1490,14,14,3,2,1,0,34
of those,1488,43,36,13,3,9,1,105
a love,1488,31,39,9,5,5,1,90
away from,1488,24,29,4,1,6,0,64
ready for,1488,16,30,6,6,3,0,61
what makes,1488,16,22,1,1,5,1,46
like i,1487,35,41,7,2,5,0,90
at me,1487,36,25,6,1,6,0,74
on insta,1486,40,83,14,13,26,0,176
and professional,1486,41,46,6,8,6,0,107
visual artist,1485,24,35,14,5,8,0,86
fan page,1485,15,35,3,2,8,0,63
1/2 of,1484,64,74,6,9,14,3,170
and one,1484,19,37,0,2,3,1,62
by birth,1483,27,34,0,3,3,0,67
track and,1482,3,2,0,0,0,0,5
day i,1481,31,34,10,3,4,2,84
women and,1481,10,29,5,1,4,0,49
customer service,1481,12,7,2,0,2,1,24
time not,1480,16,32,3,3,6,2,62
figure out,1479,46,59,11,6,6,0,128
think i,1479,26,49,3,3,4,0,85
to one,1479,29,26,5,2,1,0,63
tech and,1478,44,28,6,4,5,0,87
a cool,1478,36,32,7,4,3,2,84
my other,1477,24,35,7,1,7,2,76
living and,1477,13,16,4,1,2,0,36
through life,1476,56,53,14,6,7,0,136
i own,1475,39,24,8,3,4,0,78
http //patreon,1474,127,103,47,14,19,5,315
and country,1473,3,6,0,0,1,0,10
to think,1472,22,36,7,2,7,0,74
visit my,1472,10,14,2,0,2,0,28
home for,1472,9,8,0,1,1,0,19
and if,1471,10,27,4,1,2,0,44
in one,1471,16,18,6,0,2,1,43
are always,1470,54,50,12,10,9,0,135
never give,1470,5,6,1,0,2,0,14
of business,1470,9,3,1,0,0,0,13
doing my,1469,40,97,16,7,12,1,173
friend of,1469,48,72,6,3,2,1,132
live the,1469,16,20,3,0,0,0,39
and football,1468,9,9,0,0,0,0,18
is here,1467,12,15,1,3,4,1,36
don't follow,1466,57,37,9,5,11,3,122
find my,1466,42,45,8,4,11,0,110
jesus follower,1465,10,26,0,0,0,0,36
here https,1464,37,23,7,2,7,0,76
your cash,1463,0,0,0,0,0,0,0
run by,1462,19,17,6,6,0,1,49
1 9,1462,6,12,0,1,0,0,19
breaking news,1460,7,20,0,1,1,0,29
keep your,1459,10,26,3,0,3,0,42
classic rock,1459,10,9,1,0,0,0,20
d a,1459,5,13,1,0,1,0,20
managing editor,1458,54,94,1,2,5,0,156
these are,1458,26,42,5,1,3,2,79
the middle,1458,14,35,6,1,3,0,59
me as,1457,35,25,6,2,1,0,69
views of,1456,65,50,2,2,0,0,119
get my,1456,23,27,7,2,5,1,65
nft artist,1456,7,12,0,0,2,0,21
http //ko-fi,1455,148,233,93,26,52,9,561
help me,1455,22,28,6,9,3,0,68
an old,1455,26,32,3,0,1,0,62
trump is,1454,6,7,1,0,0,0,14
trump won,1454,0,0,0,0,0,0,0
make money,1453,3,1,0,0,0,0,4
yrs old,1451,41,80,17,7,17,11,173
award winner,1451,33,49,2,1,7,0,92
many things,1450,72,101,12,4,9,3,201
public school,1449,27,71,2,0,3,0,103
the sky,1449,25,33,3,2,7,1,71
it's all,1449,23,23,4,2,1,2,55
special education,1449,12,39,1,0,0,1,53
a kid,1449,20,20,3,3,4,1,51
the mind,1449,15,12,3,1,1,3,35
community and,1448,14,21,4,0,1,1,41
give you,1448,10,20,5,1,2,0,38
truth seeker,1446,9,6,0,0,0,0,15
the highest,1446,3,8,0,1,2,0,14
be here,1445,31,49,6,10,5,2,103
you never,1445,19,13,2,1,2,0,37
only one,1441,13,24,0,0,1,0,38
create a,1441,9,9,3,0,2,0,23
kinds of,1440,31,18,8,1,4,2,64
out with,1440,20,39,2,1,2,0,64
creator for,1440,36,12,5,3,1,0,57
m sica,1440,2,6,0,0,1,0,9
civil rights,1439,41,57,4,1,2,1,106
and people,1439,20,30,1,3,1,0,55
everything in,1439,14,16,2,1,0,0,33
engineer at,1438,131,27,4,5,2,4,173
family first,1437,2,3,0,0,0,0,5
my dogs,1436,20,58,2,0,3,0,83
love being,1434,10,18,1,3,1,0,33
with over,1434,4,0,1,0,0,0,5
see what,1433,13,19,4,0,3,0,39
guy in,1431,60,3,0,5,0,0,68
the greater,1431,6,9,1,1,0,0,17
work on,1428,52,44,8,3,2,1,110
be good,1428,43,37,5,3,4,0,92
i create,1426,28,26,7,2,8,0,71
boys and,1426,13,15,2,3,2,0,35
memes and,1425,80,56,9,9,8,4,166
might be,1425,54,56,5,3,3,1,122
justice for,1425,28,45,3,1,2,0,79
day and,1425,30,29,2,3,6,0,70
sports music,1425,16,10,1,0,0,0,27
random thoughts,1424,31,46,2,3,4,0,86
hope to,1424,20,22,3,2,4,1,52
barstool athlete,1424,1,5,1,0,0,0,7
see my,1423,37,39,4,4,6,0,90
youtube http,1423,37,20,4,3,2,0,66
for now,1422,44,42,9,15,9,2,121
i might,1422,41,50,6,8,9,0,114
even if,1422,20,26,6,4,0,1,57
with love,1422,11,30,2,1,3,0,47
of mind,1421,12,19,3,1,1,0,36
romans 8,1421,1,13,1,0,0,0,15
live love,1421,2,8,0,0,0,0,10
and content,1420,35,28,3,1,5,0,72
bunch of,1419,55,57,8,3,6,1,130
on amazon,1419,29,21,0,0,2,1,53
tv and,1418,32,66,3,2,4,1,108
fuck you,1418,22,26,14,6,5,2,75
can get,1417,17,21,4,0,3,1,46
she /,1417,1,0,2,0,0,0,3
not represent,1416,88,65,4,9,3,0,169
in los,1415,20,16,0,0,2,0,38
https //m,1414,13,8,2,1,0,1,25
kind to,1412,42,47,9,4,8,0,110
culture and,1412,30,43,4,2,0,2,81
i’m doing,1411,33,81,14,6,15,1,150
i block,1411,43,50,15,3,2,2,115
best to,1411,41,48,7,2,10,3,111
by choice,1411,28,44,2,0,3,0,77
new single,1411,10,11,1,2,1,0,25
black and,1410,44,45,11,12,13,1,126
just to,1410,25,31,3,5,7,0,71
degree in,1410,29,23,3,3,3,0,61
coffee addict,1409,39,114,6,1,7,1,168
manager of,1409,37,34,5,6,2,2,86
the biggest,1409,20,15,2,1,1,0,39
nature and,1408,14,37,6,2,3,3,65
the news,1408,21,28,1,0,2,0,52
and former,1407,30,25,2,3,0,1,61
because of,1407,22,17,4,0,1,0,44
of their,1407,6,6,2,0,0,0,14
green bay,1406,10,13,0,0,0,0,23
english teacher,1405,45,95,0,1,2,0,143
my job,1405,17,30,2,1,1,0,51
of 2024,1405,6,3,0,1,0,0,10
to dm,1404,59,41,13,5,3,1,122
media and,1404,23,18,6,1,7,1,56
family is,1404,3,3,0,0,1,1,8
ice cream,1403,27,90,6,0,3,1,127
things are,1403,19,28,3,2,2,0,54
more about,1403,16,24,2,3,2,0,47
s a,1403,12,18,0,2,1,0,33
estate investor,1403,2,2,0,0,0,0,4
see it,1402,10,14,0,0,1,0,25
take care,1401,21,32,2,2,6,1,64
against the,1401,24,26,2,3,2,0,57
my old,1401,14,29,5,1,6,0,55
crypto nft,1401,1,1,1,0,0,0,3
version of,1400,21,33,5,6,2,0,67
fan love,1400,3,7,2,0,0,0,12
student in,1399,56,112,18,9,14,1,210
life you,1399,9,12,0,1,0,0,22
thanks for,1398,16,24,4,3,4,1,52
basketball and,1398,12,11,0,1,0,0,24
the worst,1397,38,42,6,3,4,1,94
me you,1397,20,12,6,3,2,1,44
of public,1396,25,41,4,1,2,0,73
a non-profit,1396,2,1,0,0,0,0,3
is more,1395,18,18,4,1,2,0,43
not just,1395,14,13,1,2,7,1,38
day to,1395,9,14,1,1,3,1,29
f tbol,1395,4,8,0,1,0,0,13
me your,1393,27,37,11,4,5,1,85
no more,1393,17,15,11,4,2,1,50
none of,1392,26,27,5,2,3,1,64
videos and,1392,35,11,2,3,3,1,55
share my,1392,25,22,2,2,4,0,55
games i,1391,86,35,9,6,9,1,146
president trump,1391,0,0,0,0,0,0,0
amante de,1389,2,4,0,0,0,0,6
rather be,1387,23,64,4,1,1,0,93
the beautiful,1387,14,20,1,1,2,0,38
a black,1386,20,21,7,5,3,1,57
long as,1386,20,20,2,2,5,2,51
and still,1385,23,28,3,1,3,1,59
married with,1385,11,10,1,3,0,0,25
be on,1384,22,21,3,0,3,0,49
