token,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
fashion,11371,0.007,0.022,0.002,0.001,0.002,0.001,0.035
special,10540,0.012,0.019,0.001,0.001,0.001,0.0,0.035
bay,9414,0.015,0.016,0.001,0.002,0.001,0.0,0.035
ohio,9094,0.013,0.019,0.001,0.001,0.001,0.0,0.035
trainer,8610,0.014,0.016,0.002,0.001,0.001,0.0,0.035
youth,7064,0.008,0.021,0.002,0.001,0.002,0.0,0.035
grade,6378,0.009,0.024,0.0,0.0,0.001,0.0,0.035
spirit,6340,0.01,0.016,0.004,0.002,0.003,0.0,0.035
perfect,5680,0.01,0.022,0.001,0.001,0.002,0.0,0.035
com/,5269,0.014,0.017,0.002,0.001,0.001,0.0,0.035
iowa,5218,0.014,0.017,0.001,0.001,0.002,0.0,0.035
fbr,4521,0.011,0.022,0.001,0.0,0.0,0.0,0.035
moment,4396,0.011,0.016,0.002,0.002,0.003,0.0,0.035
album,3846,0.015,0.014,0.002,0.001,0.002,0.0,0.035
paid,3805,0.015,0.016,0.002,0.001,0.002,0.0,0.035
ones,3721,0.014,0.014,0.003,0.002,0.002,0.001,0.035
movement,3691,0.013,0.02,0.002,0.0,0.001,0.0,0.035
mark,3687,0.016,0.015,0.001,0.001,0.001,0.0,0.035
educated,3631,0.007,0.025,0.002,0.001,0.001,0.0,0.035
twitter,79816,0.014,0.014,0.003,0.001,0.002,0.0,0.034
world,76944,0.013,0.017,0.002,0.001,0.001,0.0,0.034
fun,39659,0.015,0.013,0.002,0.001,0.001,0.0,0.034
m,36765,0.013,0.015,0.002,0.001,0.002,0.0,0.034
born,34611,0.014,0.017,0.001,0.001,0.001,0.0,0.034
marketing,26193,0.01,0.022,0.001,0.0,0.001,0.0,0.034
they,26076,0.013,0.015,0.002,0.001,0.002,0.0,0.034
link,23427,0.011,0.015,0.003,0.001,0.004,0.0,0.034
where,21729,0.011,0.017,0.002,0.001,0.002,0.0,0.034
show,18615,0.014,0.014,0.002,0.001,0.002,0.0,0.034
give,16528,0.011,0.017,0.003,0.001,0.002,0.0,0.034
laugh,10905,0.011,0.018,0.002,0.0,0.002,0.0,0.034
songwriter,7701,0.012,0.015,0.003,0.001,0.003,0.0,0.034
alumnus,7404,0.028,0.003,0.0,0.002,0.0,0.0,0.034
em,7023,0.009,0.02,0.002,0.001,0.002,0.0,0.034
which,6699,0.014,0.015,0.001,0.002,0.001,0.0,0.034
smart,6645,0.014,0.017,0.001,0.0,0.001,0.0,0.034
turn,5865,0.013,0.016,0.003,0.001,0.001,0.001,0.034
roll,5538,0.014,0.016,0.001,0.001,0.001,0.0,0.034
spotify,5079,0.018,0.012,0.002,0.001,0.001,0.0,0.034
four,4817,0.014,0.017,0.001,0.0,0.002,0.0,0.034
we’re,4674,0.008,0.019,0.004,0.001,0.001,0.001,0.034
minnesota,4498,0.016,0.016,0.0,0.0,0.001,0.0,0.034
record,4405,0.022,0.006,0.002,0.002,0.001,0.0,0.034
3rd,3900,0.012,0.016,0.002,0.002,0.002,0.0,0.034
1,57607,0.012,0.016,0.002,0.001,0.002,0.0,0.033
youtube,33045,0.018,0.01,0.002,0.001,0.002,0.0,0.033
need,25795,0.011,0.016,0.003,0.001,0.002,0.0,0.033
come,22918,0.012,0.015,0.002,0.001,0.001,0.001,0.033
enjoy,22830,0.016,0.011,0.002,0.001,0.002,0.0,0.033
keep,21255,0.011,0.017,0.002,0.001,0.002,0.0,0.033
raised,20224,0.012,0.019,0.001,0.0,0.001,0.0,0.033
president,18654,0.014,0.017,0.001,0.0,0.001,0.0,0.033
online,16643,0.012,0.015,0.002,0.002,0.002,0.0,0.033
dream,16414,0.009,0.018,0.002,0.001,0.003,0.0,0.033
development,15522,0.015,0.015,0.001,0.001,0.001,0.0,0.033
daughter,13328,0.002,0.03,0.0,0.0,0.001,0.0,0.033
app,13319,0.012,0.014,0.003,0.001,0.002,0.0,0.033
believer,12160,0.009,0.022,0.001,0.0,0.001,0.0,0.033
buy,9324,0.012,0.014,0.002,0.002,0.002,0.0,0.033
est,8917,0.01,0.016,0.002,0.001,0.002,0.0,0.033
add,6283,0.017,0.009,0.003,0.002,0.002,0.001,0.033
az,6038,0.013,0.014,0.002,0.001,0.002,0.0,0.033
worth,5695,0.013,0.014,0.002,0.001,0.002,0.0,0.033
along,5562,0.015,0.012,0.002,0.001,0.002,0.001,0.033
following,5418,0.015,0.012,0.002,0.002,0.002,0.0,0.033
street,5066,0.013,0.015,0.002,0.001,0.002,0.0,0.033
important,4952,0.014,0.015,0.002,0.001,0.001,0.0,0.033
ride,4579,0.014,0.015,0.001,0.001,0.001,0.0,0.033
key,4424,0.014,0.014,0.002,0.001,0.002,0.0,0.033
james,4272,0.015,0.012,0.002,0.002,0.002,0.0,0.033
affiliated,4212,0.014,0.014,0.001,0.001,0.002,0.001,0.033
joe,4051,0.018,0.01,0.002,0.001,0.002,0.001,0.033
magazine,4038,0.012,0.019,0.001,0.0,0.001,0.0,0.033
morning,3969,0.011,0.018,0.001,0.001,0.002,0.0,0.033
buffalo,3866,0.015,0.015,0.001,0.0,0.001,0.0,0.033
city,23751,0.014,0.015,0.001,0.001,0.001,0.0,0.032
been,20764,0.013,0.014,0.002,0.001,0.002,0.0,0.032
his,18492,0.024,0.005,0.0,0.002,0.0,0.0,0.032
let,16559,0.011,0.016,0.002,0.001,0.001,0.0,0.032
consultant,16208,0.012,0.018,0.001,0.001,0.001,0.0,0.032
together,10450,0.01,0.016,0.003,0.001,0.002,0.0,0.032
2023,9310,0.011,0.017,0.001,0.001,0.002,0.0,0.032
pa,8625,0.011,0.018,0.002,0.001,0.001,0.0,0.032
weather,8167,0.015,0.013,0.002,0.001,0.001,0.0,0.032
sense,7943,0.011,0.018,0.001,0.0,0.001,0.0,0.032
must,7824,0.012,0.015,0.003,0.0,0.003,0.0,0.032
onlyfans,7726,0.008,0.015,0.003,0.002,0.004,0.0,0.032
principal,7016,0.019,0.013,0.0,0.0,0.0,0.0,0.032
serious,6118,0.012,0.014,0.002,0.002,0.002,0.0,0.032
michigan,6085,0.013,0.016,0.001,0.001,0.001,0.0,0.032
fast,5438,0.013,0.012,0.002,0.002,0.003,0.0,0.032
above,5132,0.012,0.015,0.003,0.001,0.001,0.0,0.032
control,4685,0.015,0.013,0.001,0.001,0.002,0.0,0.032
safety,4519,0.01,0.019,0.002,0.0,0.0,0.0,0.032
access,4419,0.008,0.02,0.002,0.001,0.001,0.0,0.032
message,4315,0.012,0.011,0.004,0.002,0.002,0.0,0.032
physical,4206,0.015,0.014,0.002,0.0,0.001,0.0,0.032
s,47366,0.01,0.017,0.002,0.001,0.001,0.0,0.031
back,35750,0.011,0.014,0.002,0.001,0.002,0.0,0.031
hard,25783,0.011,0.014,0.002,0.001,0.002,0.001,0.031
loving,21152,0.01,0.016,0.002,0.001,0.001,0.001,0.031
top,19631,0.017,0.008,0.003,0.002,0.002,0.0,0.031
p,19592,0.011,0.013,0.003,0.002,0.002,0.0,0.031
ny,16173,0.012,0.015,0.001,0.001,0.001,0.0,0.031
vet,15284,0.015,0.014,0.001,0.0,0.001,0.0,0.031
she,13983,0.004,0.022,0.002,0.001,0.002,0.0,0.031
yourself,13727,0.008,0.017,0.001,0.001,0.002,0.001,0.031
100,13416,0.011,0.014,0.002,0.001,0.002,0.0,0.031
club,13296,0.011,0.014,0.002,0.001,0.002,0.0,0.031
soccer,12682,0.016,0.014,0.001,0.0,0.001,0.0,0.031
tx,12483,0.01,0.017,0.001,0.001,0.002,0.0,0.031
speaker,12108,0.011,0.018,0.001,0.001,0.001,0.0,0.031
13,12033,0.011,0.015,0.001,0.002,0.002,0.0,0.031
share,11983,0.012,0.014,0.002,0.002,0.002,0.0,0.031
west,11005,0.013,0.015,0.001,0.0,0.001,0.0,0.031
champion,10502,0.016,0.012,0.002,0.001,0.001,0.0,0.031
southern,10127,0.01,0.016,0.001,0.001,0.002,0.0,0.031
nc,8547,0.012,0.017,0.001,0.001,0.0,0.0,0.031
thinker,7652,0.01,0.017,0.001,0.001,0.001,0.0,0.031
ideas,7108,0.012,0.015,0.001,0.001,0.001,0.0,0.031
nj,6848,0.01,0.015,0.001,0.002,0.002,0.0,0.031
smile,6672,0.009,0.017,0.002,0.001,0.002,0.0,0.031
pay,6116,0.01,0.015,0.002,0.002,0.002,0.0,0.031
feed,5255,0.013,0.014,0.002,0.001,0.002,0.0,0.031
classic,4889,0.015,0.013,0.002,0.0,0.001,0.0,0.031
started,4640,0.012,0.014,0.002,0.002,0.002,0.0,0.031
gym,4468,0.019,0.01,0.001,0.001,0.0,0.0,0.031
feet,4311,0.011,0.016,0.003,0.0,0.001,0.0,0.031
walk,4131,0.01,0.018,0.002,0.001,0.001,0.0,0.031
follow,74096,0.012,0.012,0.002,0.001,0.002,0.0,0.03
business,62005,0.013,0.013,0.002,0.001,0.002,0.0,0.03
team,32652,0.013,0.013,0.001,0.001,0.001,0.0,0.03
young,17186,0.01,0.015,0.002,0.001,0.001,0.0,0.03
believe,16153,0.01,0.016,0.001,0.001,0.001,0.0,0.03
peace,15676,0.008,0.017,0.002,0.001,0.001,0.0,0.03
g,12908,0.012,0.011,0.002,0.002,0.002,0.0,0.03
amazing,12358,0.011,0.015,0.001,0.001,0.002,0.0,0.03
program,11983,0.012,0.015,0.001,0.0,0.001,0.0,0.03
john,8246,0.014,0.012,0.001,0.001,0.001,0.001,0.03
rest,7515,0.009,0.017,0.001,0.001,0.001,0.0,0.03
guys,6463,0.016,0.01,0.002,0.002,0.001,0.0,0.03
talent,6019,0.014,0.012,0.001,0.001,0.001,0.0,0.03
focus,5876,0.012,0.014,0.001,0.002,0.001,0.0,0.03
event,5785,0.01,0.015,0.003,0.001,0.002,0.0,0.03
mets,5377,0.017,0.012,0.0,0.0,0.001,0.0,0.03
virginia,5376,0.012,0.017,0.001,0.0,0.0,0.0,0.03
spiritual,5164,0.006,0.017,0.002,0.001,0.003,0.0,0.03
nonprofit,4929,0.01,0.018,0.001,0.0,0.001,0.0,0.03
risk,4872,0.011,0.014,0.002,0.001,0.001,0.0,0.03
tn,4338,0.009,0.017,0.002,0.001,0.001,0.0,0.03
gotta,4209,0.009,0.016,0.003,0.0,0.002,0.0,0.03
life,160840,0.009,0.016,0.002,0.001,0.001,0.0,0.029
university,53053,0.012,0.015,0.001,0.0,0.001,0.0,0.029
first,35299,0.01,0.016,0.001,0.001,0.002,0.0,0.029
10,18187,0.01,0.014,0.002,0.001,0.002,0.0,0.029
f,16495,0.01,0.013,0.002,0.002,0.001,0.0,0.029
global,12331,0.01,0.017,0.001,0.0,0.001,0.0,0.029
passion,10692,0.01,0.015,0.001,0.001,0.001,0.0,0.029
become,8123,0.011,0.014,0.002,0.001,0.001,0.0,0.029
east,7936,0.011,0.014,0.002,0.001,0.001,0.0,0.029
focused,7747,0.013,0.013,0.001,0.001,0.002,0.0,0.029
hit,7406,0.015,0.008,0.002,0.002,0.002,0.0,0.029
start,7362,0.01,0.013,0.002,0.001,0.001,0.0,0.029
officer,7359,0.013,0.014,0.001,0.0,0.001,0.0,0.029
knowledge,6953,0.011,0.015,0.001,0.001,0.001,0.0,0.029
2nd,6393,0.011,0.016,0.001,0.0,0.001,0.0,0.029
gold,5799,0.01,0.013,0.002,0.002,0.002,0.001,0.029
force,5704,0.012,0.013,0.001,0.001,0.001,0.0,0.029
beyond,5242,0.011,0.013,0.002,0.001,0.001,0.0,0.029
fly,5168,0.012,0.012,0.003,0.001,0.001,0.0,0.029
generation,5142,0.01,0.017,0.001,0.001,0.001,0.0,0.029
performance,5030,0.01,0.012,0.003,0.002,0.002,0.0,0.029
supporting,4899,0.01,0.014,0.002,0.0,0.001,0.0,0.029
style,4896,0.008,0.018,0.001,0.001,0.001,0.0,0.029
live,60744,0.01,0.014,0.002,0.001,0.001,0.0,0.028
home,34332,0.01,0.014,0.001,0.001,0.001,0.0,0.028
5,31103,0.009,0.014,0.002,0.001,0.002,0.0,0.028
travel,25029,0.008,0.018,0.001,0.0,0.001,0.0,0.028
class,20568,0.014,0.011,0.001,0.001,0.001,0.0,0.028
boys,15315,0.008,0.016,0.002,0.001,0.001,0.0,0.028
learn,14498,0.012,0.013,0.001,0.001,0.001,0.0,0.028
south,14036,0.01,0.014,0.001,0.001,0.001,0.0,0.028
12,12884,0.01,0.013,0.002,0.001,0.002,0.0,0.028
san,12425,0.012,0.013,0.001,0.001,0.001,0.0,0.028
california,11605,0.012,0.013,0.001,0.001,0.001,0.0,0.028
air,8166,0.012,0.013,0.001,0.0,0.001,0.0,0.028
creating,7724,0.009,0.013,0.002,0.001,0.002,0.0,0.028
bring,7021,0.01,0.016,0.001,0.0,0.001,0.001,0.028
freak,6952,0.009,0.012,0.003,0.001,0.002,0.0,0.028
career,6561,0.01,0.016,0.001,0.0,0.001,0.0,0.028
valley,6547,0.007,0.016,0.001,0.0,0.003,0.0,0.028
angeles,6309,0.013,0.011,0.001,0.001,0.002,0.0,0.028
respect,6157,0.009,0.014,0.003,0.001,0.001,0.0,0.028
mba,6066,0.013,0.015,0.001,0.0,0.0,0.0,0.028
fear,5521,0.011,0.013,0.002,0.0,0.002,0.0,0.028
followers,5246,0.011,0.012,0.003,0.001,0.002,0.0,0.028
2x,5005,0.012,0.013,0.0,0.001,0.002,0.0,0.028
driver,4996,0.013,0.012,0.001,0.001,0.0,0.0,0.028
tennis,4990,0.014,0.013,0.0,0.0,0.0,0.0,0.028
move,4649,0.012,0.012,0.001,0.002,0.001,0.0,0.028
instagram,49196,0.008,0.015,0.002,0.001,0.002,0.0,0.027
//www,37891,0.012,0.01,0.002,0.001,0.001,0.0,0.027
through,30223,0.01,0.013,0.002,0.001,0.001,0.0,0.027
r,27392,0.01,0.012,0.002,0.001,0.001,0.0,0.027
texas,26099,0.01,0.014,0.001,0.0,0.001,0.0,0.027
6,20206,0.009,0.013,0.002,0.001,0.001,0.0,0.027
8,17135,0.01,0.013,0.002,0.001,0.002,0.0,0.027
building,13494,0.015,0.01,0.001,0.001,0.001,0.0,0.027
fl,10096,0.008,0.015,0.001,0.001,0.002,0.0,0.027
build,9716,0.013,0.01,0.001,0.001,0.0,0.0,0.027
journey,8408,0.009,0.013,0.001,0.001,0.001,0.0,0.027
licensed,7272,0.006,0.017,0.002,0.001,0.001,0.0,0.027
different,7057,0.012,0.012,0.002,0.001,0.001,0.0,0.027
//onlyfans,6447,0.007,0.012,0.005,0.002,0.001,0.0,0.027
outdoors,6291,0.01,0.015,0.0,0.001,0.0,0.0,0.027
wonderful,5823,0.01,0.014,0.002,0.001,0.001,0.0,0.027
al,5786,0.009,0.014,0.002,0.001,0.002,0.001,0.027
detroit,5639,0.012,0.011,0.002,0.001,0.001,0.0,0.027
comes,5499,0.009,0.014,0.001,0.001,0.001,0.0,0.027
created,4862,0.015,0.009,0.001,0.001,0.001,0.0,0.027
husband,89517,0.023,0.002,0.0,0.0,0.0,0.0,0.026
3,58706,0.009,0.013,0.001,0.001,0.001,0.0,0.026
state,52405,0.01,0.014,0.001,0.0,0.001,0.0,0.026
e,35216,0.008,0.013,0.002,0.001,0.002,0.0,0.026
alumni,16731,0.01,0.013,0.001,0.001,0.001,0.0,0.026
its,13115,0.009,0.012,0.003,0.001,0.002,0.001,0.026
radio,12959,0.013,0.01,0.001,0.001,0.001,0.0,0.026
york,12190,0.013,0.011,0.0,0.001,0.0,0.0,0.026
advice,11269,0.01,0.015,0.001,0.0,0.001,0.0,0.026
mommy,10823,0.002,0.021,0.001,0.0,0.002,0.0,0.026
brand,10158,0.009,0.014,0.001,0.0,0.001,0.0,0.026
cash,8273,0.008,0.013,0.003,0.001,0.001,0.0,0.026
grow,7924,0.009,0.013,0.002,0.001,0.002,0.0,0.026
pastor,7472,0.013,0.012,0.0,0.001,0.001,0.0,0.026
atl,7113,0.009,0.012,0.002,0.001,0.001,0.0,0.026
selling,6616,0.007,0.014,0.002,0.002,0.002,0.0,0.026
traveling,6389,0.008,0.015,0.001,0.0,0.001,0.0,0.026
store,6239,0.009,0.011,0.002,0.001,0.003,0.0,0.026
arizona,5589,0.013,0.011,0.0,0.0,0.002,0.0,0.026
growing,5535,0.008,0.014,0.002,0.001,0.001,0.0,0.026
season,5438,0.01,0.013,0.001,0.001,0.001,0.0,0.026
ig,109902,0.006,0.014,0.002,0.001,0.002,0.0,0.025
4,47057,0.008,0.014,0.002,0.001,0.001,0.0,0.025
veteran,27242,0.014,0.009,0.001,0.0,0.001,0.0,0.025
technology,18352,0.014,0.008,0.001,0.001,0.001,0.0,0.025
7,17497,0.008,0.013,0.001,0.001,0.001,0.0,0.025
area,15506,0.013,0.01,0.001,0.001,0.001,0.0,0.025
9,14934,0.009,0.012,0.001,0.001,0.002,0.0,0.025
entertainment,12375,0.012,0.011,0.001,0.001,0.001,0.0,0.025
0,11309,0.01,0.01,0.002,0.001,0.002,0.0,0.025
website,10323,0.009,0.01,0.002,0.001,0.002,0.0,0.025
needs,9884,0.009,0.011,0.002,0.001,0.001,0.0,0.025
lord,8476,0.013,0.007,0.002,0.001,0.002,0.0,0.025
sharing,8329,0.01,0.011,0.001,0.001,0.001,0.001,0.025
washington,7877,0.011,0.012,0.001,0.0,0.0,0.0,0.025
source,7830,0.015,0.007,0.001,0.002,0.001,0.0,0.025
trade,7293,0.013,0.009,0.001,0.001,0.001,0.0,0.025
we're,7070,0.01,0.01,0.003,0.001,0.001,0.001,0.025
natural,6365,0.008,0.014,0.001,0.001,0.001,0.0,0.025
bears,5896,0.014,0.008,0.001,0.001,0.001,0.0,0.025
sox,5714,0.013,0.01,0.001,0.0,0.001,0.0,0.025
collection,5541,0.008,0.014,0.001,0.001,0.001,0.0,0.025
forward,5405,0.012,0.01,0.001,0.0,0.001,0.0,0.025
elementary,5395,0.006,0.017,0.001,0.001,0.001,0.0,0.025
purpose,5314,0.009,0.012,0.002,0.0,0.002,0.0,0.025
road,5264,0.009,0.013,0.002,0.001,0.001,0.0,0.025
2016,5157,0.008,0.014,0.002,0.001,0.001,0.0,0.025
ain’t,5040,0.008,0.013,0.002,0.001,0.002,0.0,0.025
cleveland,4981,0.012,0.011,0.001,0.001,0.0,0.0,0.025
school,63066,0.008,0.015,0.001,0.0,0.001,0.0,0.024
real,52613,0.008,0.011,0.002,0.001,0.002,0.0,0.024
la,38086,0.008,0.013,0.001,0.001,0.001,0.0,0.024
usa,17194,0.007,0.014,0.001,0.001,0.001,0.0,0.024
center,12675,0.01,0.012,0.001,0.0,0.001,0.0,0.024
daily,12427,0.009,0.013,0.001,0.001,0.001,0.0,0.024
create,11054,0.009,0.01,0.002,0.001,0.002,0.0,0.024
channel,10874,0.013,0.009,0.001,0.001,0.001,0.0,0.024
da,10830,0.006,0.012,0.002,0.001,0.002,0.0,0.024
industry,9970,0.009,0.011,0.001,0.001,0.001,0.0,0.024
leadership,7349,0.008,0.015,0.0,0.0,0.0,0.0,0.024
office,6869,0.01,0.012,0.001,0.001,0.001,0.0,0.024
happiness,6506,0.008,0.014,0.001,0.0,0.001,0.0,0.024
custom,6455,0.006,0.011,0.003,0.001,0.003,0.0,0.024
site,5911,0.011,0.009,0.001,0.001,0.001,0.0,0.024
n,38261,0.007,0.011,0.002,0.001,0.002,0.0,0.023
