token,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
binary,6550,104,117,1490,280,323,129,2443
non-binary,2985,47,53,808,154,177,65,1304
nonbinary,2003,41,48,576,111,131,51,958
non binary,410,7,6,91,12,11,12,139
multiple_nonbinary_signals,0,0,0,0,0,0,0,0
