trigram,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
a lot of,12.712,2.917,2.41,2.856,2.794,2.512,3.438,2.643
what i’m doing,1.813,1.639,3.114,3.081,2.304,4.065,2.411,2.641
kind of a,1.016,3.626,2.452,1.65,3.085,0.0,0.0,2.631
are mine alone,2.063,3.802,2.455,-1.231,-1.974,-1.68,2.119,2.591
tweets are mine,3.003,3.205,2.793,-2.688,1.044,1.227,0.0,2.564
and opinions are,2.97,3.401,2.488,-1.329,2.11,-1.612,2.943,2.539
all the things,1.045,1.592,3.813,-1.869,1.0,-1.702,4.183,2.52
things i like,1.179,3.628,1.409,2.369,4.43,3.126,7.414,2.504
this is an,1.006,2.599,1.981,4.997,1.039,3.053,8.689,2.499
currently working on,1.251,4.275,1.128,4.911,-1.197,1.964,0.0,2.488
i play games,2.009,3.372,1.364,4.17,2.6,3.363,6.527,2.462
play video games,4.169,3.82,1.593,2.01,4.26,1.326,2.097,2.46
my own and,7.815,3.711,2.04,1.286,1.604,-1.157,1.678,2.451
working on a,1.339,2.84,1.798,3.754,5.461,1.376,6.528,2.444
my thoughts are,1.006,2.599,2.641,1.11,1.039,2.442,0.0,2.419
one of those,1.008,2.594,1.812,4.433,2.072,4.265,0.0,2.415
and other stuff,1.343,3.982,1.546,2.495,1.555,1.372,0.0,2.407
have no idea,1.794,1.59,2.684,3.425,4.076,2.054,4.872,2.402
bit of a,1.229,3.191,1.892,2.727,4.25,-1.001,0.0,2.402
just a little,1.24,2.013,2.143,2.252,7.581,3.467,0.0,2.381
views of my,1.363,3.662,2.132,-1.22,1.533,0.0,0.0,2.371
and pop culture,1.038,3.206,2.16,1.076,1.007,1.776,0.0,2.345
are mine and,1.908,4.049,1.523,1.464,2.19,-1.554,2.291,2.342
at this point,1.256,1.42,2.512,4.002,3.326,3.423,0.0,2.319
big fan of,4.898,2.475,2.492,2.052,1.28,1.254,-1.121,2.313
star wars fan,1.036,4.589,1.442,-1.853,1.009,0.0,0.0,2.311
have a lot,1.214,1.86,3.009,1.84,-1.162,1.012,0.0,2.301
and do not,3.427,3.121,1.962,1.304,1.829,1.434,2.551,2.27
my own opinions,1.372,2.945,2.239,2.036,-1.313,-2.235,0.0,2.268
to put here,1.128,2.845,1.62,-1.01,6.482,2.723,3.875,2.263
opinions expressed here,1.029,3.234,1.776,1.086,1.016,0.0,21.237,2.249
of the time,3.242,2.749,1.972,2.067,1.611,1.895,4.044,2.24
not reflect the,1.045,2.729,2.304,2.138,1.0,0.0,0.0,2.214
free to dm,1.554,3.441,1.443,2.875,2.689,-2.531,2.813,2.208
i tweet about,5.225,2.729,2.129,1.176,2.199,1.058,-1.195,2.184
ph d student,1.209,1.966,2.541,2.31,-1.157,1.524,0.0,2.178
i make music,2.7,3.609,-1.121,2.689,4.643,1.82,3.237,2.157
trying to be,5.98,2.782,1.791,1.027,4.192,1.541,1.462,2.142
to talk about,2.165,2.141,2.147,2.322,2.412,1.986,0.0,2.138
views and opinions,1.326,3.048,1.879,2.106,1.575,0.0,0.0,2.137
expressed are my,4.432,2.923,2.079,-1.323,-1.414,-1.804,2.958,2.125
league of legends,1.183,3.616,1.333,-1.059,4.415,-1.927,0.0,2.125
this is a,5.398,1.651,2.307,2.276,1.935,2.731,4.858,2.121
views expressed are,3.471,2.979,2.057,-2.071,-1.108,-1.413,1.259,2.115
nice to meet,1.209,2.85,1.511,-1.082,3.456,2.54,7.23,2.112
this is where,1.649,2.162,1.913,3.387,-1.578,2.979,0.0,2.105
my best to,1.747,2.041,2.091,2.238,-1.672,2.812,5.003,2.101
gmail com http,1.66,2.291,1.701,3.364,2.517,2.22,2.633,2.091
i wish i,1.168,1.933,1.991,1.435,1.789,3.155,11.226,2.084
tweets are my,24.09,2.398,2.395,-1.797,-1.537,-1.265,-1.378,2.079
lover of dogs,1.001,1.187,3.318,-1.791,0.0,-1.63,0.0,2.073
to figure out,2.094,1.986,2.101,2.667,1.995,1.76,0.0,2.058
with a love,1.164,2.348,1.355,3.359,4.487,2.638,3.755,2.057
opinions expressed are,2.603,3.333,1.722,-1.553,-2.491,-4.239,3.358,2.054
my own rt,1.286,2.588,2.066,1.303,-1.231,-1.047,0.0,2.047
most of the,2.053,2.836,1.698,1.36,1.527,-1.114,6.387,2.04
own and not,2.153,3.312,1.658,1.297,0.0,-1.753,0.0,2.039
to meet you,1.372,2.772,1.453,-1.228,3.807,2.238,6.371,2.036
associate professor of,1.679,2.69,1.978,1.331,0.0,1.098,0.0,2.02
trying to figure,2.975,1.957,2.093,2.441,1.404,1.651,1.469,2.012
i also like,1.745,3.337,1.38,1.28,3.592,0.0,0.0,2.012
video games i,1.014,3.398,1.064,1.653,3.091,1.818,0.0,2.007
work in progress,2.375,1.651,2.622,1.176,-1.137,-1.289,1.84,1.999
trying to do,1.778,2.273,1.868,1.885,2.938,1.037,2.458,1.997
like to make,1.227,2.518,1.624,2.276,-1.174,2.503,0.0,1.984
is where i,1.772,2.213,1.78,2.837,1.179,2.08,0.0,1.981
i have no,3.508,1.66,1.941,2.229,2.68,2.626,6.229,1.979
i just like,1.253,2.561,1.458,1.338,2.501,2.451,6.976,1.974
a bunch of,2.123,2.519,1.799,1.842,1.476,-1.152,2.059,1.973
mom to a,1.291,0.0,3.923,0.0,0.0,-1.051,0.0,1.947
streamer on twitch,1.787,2.793,1.533,-1.066,1.754,1.719,2.446,1.942
expressed here are,2.268,2.725,1.647,-1.353,-2.17,1.083,9.635,1.935
for a living,3.525,2.798,1.437,2.535,-1.125,1.22,0.0,1.924
here are my,3.236,2.975,1.693,-1.931,-3.097,-1.317,1.351,1.923
the views of,1.951,3.107,1.66,-1.747,1.071,0.0,0.0,1.922
in the midwest,1.041,2.398,1.515,1.073,0.0,3.54,8.397,1.916
trying to survive,1.512,1.886,2.087,1.847,1.382,1.219,0.0,1.9
author of the,6.3,1.981,2.28,-1.88,-1.206,-1.282,1.387,1.894
know how to,2.277,1.462,1.859,2.698,1.835,3.237,1.92,1.875
but you can,1.624,1.829,1.381,2.063,1.286,3.782,16.148,1.867
to make friends,1.326,2.51,1.44,-1.187,3.151,2.316,0.0,1.866
i don't know,3.124,2.206,1.462,1.967,2.341,2.556,2.798,1.865
a bit of,2.312,2.005,1.76,2.174,2.259,1.063,3.781,1.864
you know me,2.015,2.005,1.319,4.435,2.592,1.829,2.169,1.861
i work in,1.587,2.471,1.674,1.76,0.0,1.548,0.0,1.86
on the side,1.811,2.297,1.467,1.234,5.191,1.018,2.414,1.85
all i do,1.405,-1.313,1.891,3.18,3.717,4.372,3.111,1.846
i care about,1.21,1.768,1.784,2.308,3.453,1.523,0.0,1.846
make the world,2.882,2.598,1.556,1.357,1.45,1.066,0.0,1.841
