trigram,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
is just a,751,13,15,4,0,2,1,35
utm medium copy,750,1,7,0,1,0,0,9
ohio state university,749,8,17,0,1,1,0,27
in the state,749,4,3,2,2,0,0,11
time with my,748,7,3,0,0,0,0,10
my own opinions,747,34,37,5,1,1,0,78
to meet you,747,32,24,2,5,5,2,70
my own retweets,746,19,23,1,1,1,1,46
to help people,746,11,6,0,0,0,0,17
proud husband and,746,5,0,0,1,0,0,6
a good day,744,24,17,6,0,5,1,53
of life and,744,4,8,0,0,0,1,13
i need to,743,17,20,3,1,3,0,44
views of my,742,42,35,2,2,0,0,81
you don't like,742,7,14,1,1,2,1,26
and host of,741,23,8,0,0,0,0,31
me out on,740,14,9,3,1,1,0,28
mother of three,740,0,21,0,0,1,0,22
i love sports,740,6,2,1,0,0,0,9
pursuit of happiness,740,1,6,0,0,1,0,8
special education teacher,739,5,17,0,0,0,1,23
owner of a,738,20,25,3,4,2,0,54
my own opinion,738,22,27,0,2,1,1,53
and a little,738,14,26,2,1,5,0,48
a simple man,738,13,0,0,2,0,1,16
over the world,738,4,9,0,0,0,0,13
a man who,738,11,0,0,1,0,0,12
love to laugh,737,2,7,0,0,1,0,10
nothing to see,735,5,14,2,1,2,1,25
streamer http //twitch,733,29,15,9,0,3,1,57
for the next,733,5,7,2,0,1,0,15
now on all,733,6,4,0,1,0,1,12
to keep up,732,10,19,1,1,3,0,34
you are a,732,15,11,1,1,2,0,30
the only way,732,7,11,6,0,2,0,26
and other stuff,731,45,25,6,2,3,0,81
philly sports fan,730,11,8,0,0,1,0,20
citizen of the,730,7,10,0,1,1,0,19
don’t be late,730,0,0,0,0,0,0,0
is a leading,730,0,0,0,0,0,0,0
working on a,729,32,29,9,7,3,2,82
trades master of,729,25,15,4,1,2,0,47
learn how to,729,9,4,0,2,0,0,15
love god love,729,2,6,1,0,0,0,9
and proud of,727,11,9,5,0,1,0,26
of all time,727,12,9,3,0,0,0,24
believer in the,725,10,22,1,0,3,0,36
way too much,724,45,54,6,6,6,0,117
i work for,724,28,23,1,1,1,2,56
in the future,724,12,23,2,1,3,1,42
with a focus,723,16,19,3,0,1,0,39
a focus on,723,15,18,3,0,1,0,37
what you make,723,1,6,0,0,1,0,8
visit my website,723,1,2,1,0,0,0,4
rights are human,722,161,132,22,7,14,5,341
what i'm doing,722,27,52,9,6,7,2,103
views and opinions,722,34,30,5,2,0,0,71
to make friends,722,28,23,2,4,5,0,62
to live life,721,6,12,2,0,0,0,20
all things through,721,1,4,0,0,0,0,5
to those who,720,6,5,0,0,1,0,12
can help you,720,3,4,0,0,0,0,7
a community of,720,4,0,0,0,0,0,4
st louis cardinals,720,2,1,0,0,1,0,4
work hard play,720,1,2,0,0,0,0,3
supporter of the,719,14,13,0,1,0,0,28
just a normal,718,11,7,1,1,0,0,20
day by day,718,5,7,3,0,1,0,16
life is to,717,4,17,1,2,0,0,24
would love to,717,12,7,1,2,1,0,23
of video games,716,73,42,9,6,5,1,136
