trigram,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
my views are,2.276,8.913,6.476,5.585,2.089,4.299,8.741,6.942
all the time,4.548,6.774,6.227,11.17,9.401,4.299,13.112,6.823
i used to,3.728,9.27,6.227,2.234,4.178,3.685,13.112,6.783
for a living,3.525,9.864,5.065,8.936,3.134,4.299,0.0,6.783
just your average,4.182,8.557,5.48,8.378,7.312,3.685,13.112,6.743
living in the,5.861,9.389,5.729,6.702,6.268,0.614,0.0,6.663
trying to get,4.421,8.081,5.48,7.819,9.401,5.528,4.371,6.663
my own not,2.25,8.081,6.891,3.91,2.089,1.843,17.483,6.663
do not represent,2.391,10.102,5.148,2.234,9.401,1.843,0.0,6.503
own and do,2.358,9.626,5.397,2.793,4.178,3.685,8.741,6.503
like video games,1.445,11.171,3.404,6.702,6.268,5.528,0.0,6.464
i am not,6.676,6.893,6.144,3.91,6.268,7.37,4.371,6.304
i do not,4.551,6.536,5.397,7.261,14.624,5.528,8.741,6.304
my pronouns are,1.581,4.873,4.068,20.106,7.312,10.441,34.965,6.304
here are my,3.236,9.626,5.48,1.676,1.045,2.457,4.371,6.224
dm me for,5.253,5.229,4.649,11.729,10.446,12.898,13.112,6.184
assistant professor of,2.211,6.299,7.887,1.676,0.0,2.457,0.0,6.184
mom of 2,5.828,0.0,12.205,0.0,0.0,2.457,4.371,6.065
i love to,10.21,5.348,6.725,4.468,10.446,4.299,0.0,6.025
host of the,6.491,11.647,3.238,2.793,4.178,1.843,4.371,5.985
want to be,6.215,5.704,5.978,3.351,3.134,12.898,0.0,5.985
trying to figure,2.975,5.823,6.227,7.261,4.178,4.913,4.371,5.985
a little bit,3.484,5.704,6.642,2.234,6.268,6.142,4.371,5.945
i believe in,6.342,5.586,7.306,2.234,3.134,2.457,8.741,5.905
this account is,3.556,6.893,4.899,6.144,9.401,5.528,8.741,5.905
all views my,1.24,4.873,7.555,3.351,4.178,2.457,4.371,5.865
of all trades,3.616,7.487,3.819,9.495,5.223,9.213,0.0,5.825
i don't know,3.124,6.893,4.566,6.144,7.312,7.984,8.741,5.825
i make music,2.7,9.745,2.408,7.261,12.535,4.913,8.741,5.825
all opinions my,1.163,5.229,7.057,3.91,5.223,2.457,4.371,5.825
i am an,6.913,6.061,5.563,7.261,7.312,2.457,13.112,5.785
i like video,1.293,10.339,2.823,6.702,5.223,4.299,0.0,5.785
and i love,7.273,5.11,5.397,9.495,9.401,5.528,4.371,5.745
welcome to the,8.645,6.061,4.566,6.702,4.178,11.055,8.741,5.666
just a guy,8.59,15.212,0.083,0.0,8.357,0.0,21.853,5.666
find me on,3.157,4.278,6.476,6.702,5.223,5.528,8.741,5.666
the university of,9.655,7.844,5.397,1.676,4.178,1.228,0.0,5.586
i try to,3.122,8.557,3.819,4.468,5.223,4.299,8.741,5.586
i don’t know,3.098,5.348,5.895,3.91,5.223,4.913,17.483,5.586
i just want,3.495,6.655,4.815,5.027,3.134,7.37,0.0,5.506
and i like,3.166,7.962,3.238,6.702,7.312,6.756,8.741,5.506
twitch http //twitch,3.17,8.913,3.404,3.91,11.491,1.228,4.371,5.466
of video games,1.315,8.676,3.487,5.027,6.268,3.071,4.371,5.426
phd student at,1.196,5.823,5.729,3.91,4.178,2.457,8.741,5.386
opinions expressed are,2.603,8.676,4.483,1.676,1.045,0.614,8.741,5.346
are mine alone,2.063,7.844,5.065,1.676,1.045,1.228,4.371,5.346
doing my best,1.484,3.446,6.227,8.378,5.223,5.528,4.371,5.346
make the world,2.882,7.487,4.483,3.91,4.178,3.071,0.0,5.306
i love you,4.546,2.852,7.057,6.144,0.0,6.756,4.371,5.267
the world a,3.166,7.012,4.899,2.793,4.178,3.071,0.0,5.267
to each other,1.563,8.676,3.487,3.91,5.223,1.228,8.741,5.227
used to be,2.957,6.299,5.148,1.676,1.045,4.913,13.112,5.187
at http //twitch,1.912,10.22,1.744,6.702,5.223,2.457,8.741,5.187
and all things,3.989,4.278,6.393,2.793,3.134,4.913,0.0,5.147
a lot about,1.442,5.229,5.148,6.144,2.089,5.528,0.0,5.107
to make the,3.187,6.536,4.815,2.793,3.134,3.685,0.0,5.067
are not endorsements,6.454,6.893,4.566,3.351,1.045,2.457,8.741,5.027
part of the,5.892,6.18,4.732,2.793,6.268,2.457,8.741,5.027
just a girl,3.75,0.238,9.465,0.0,0.0,5.528,4.371,5.027
and all around,2.904,7.725,3.985,1.117,7.312,1.843,4.371,5.027
mom of 3,5.49,0.0,9.797,0.559,0.0,3.071,4.371,4.987
https //www twitch,4.461,7.606,2.242,7.261,7.312,5.528,17.483,4.947
all tweets are,3.238,5.942,5.148,2.234,1.045,4.299,0.0,4.947
i play games,2.009,6.774,2.74,8.378,5.223,6.756,13.112,4.947
i write about,1.816,4.754,5.978,2.793,3.134,2.457,0.0,4.947
social media manager,1.708,3.684,6.144,3.91,4.178,3.071,0.0,4.828
here for a,4.884,3.328,5.563,3.91,6.268,6.142,8.741,4.788
what i’m doing,1.813,2.971,5.646,5.585,4.178,7.37,4.371,4.788
the oxford comma,1.089,3.565,6.725,1.117,1.045,3.071,4.371,4.788
work in progress,2.375,3.922,6.227,2.793,2.089,1.843,4.371,4.748
like to draw,1.111,4.041,3.819,8.378,3.134,11.669,8.741,4.748
co-host of the,2.625,9.507,2.491,0.559,2.089,1.843,8.741,4.708
way too much,1.33,5.348,4.483,3.351,6.268,3.685,0.0,4.668
to talk about,2.165,4.635,4.649,5.027,5.223,4.299,0.0,4.628
i play video,1.723,7.249,2.574,3.351,8.357,5.528,4.371,4.628
day at a,5.975,4.516,4.649,4.468,6.268,3.071,8.741,4.588
of my life,5.954,3.684,5.812,3.351,1.045,3.071,8.741,4.588
lover of books,1.671,2.02,7.887,0.559,1.045,0.614,0.0,4.588
dms always open,1.15,9.27,0.996,5.585,9.401,3.071,4.371,4.588
phd candidate in,1.038,4.041,5.397,3.351,3.134,3.685,4.371,4.588
fan of the,5.964,6.18,3.902,5.585,5.223,0.0,0.0,4.548
of the year,6.904,5.586,4.566,3.351,3.134,1.228,0.0,4.508
for a good,5.093,3.328,5.148,4.468,5.223,5.528,4.371,4.508
me if you,4.375,6.18,3.736,5.585,4.178,1.228,0.0,4.508
please do not,1.212,3.209,4.234,8.936,6.268,6.756,8.741,4.508
one day at,5.528,4.397,4.483,4.468,6.268,3.071,8.741,4.469
are mine and,1.908,7.725,2.906,2.793,4.178,1.228,4.371,4.469
no idea what,1.383,3.684,4.4,5.027,10.446,4.299,8.741,4.469
looking for a,7.929,6.299,3.321,4.468,3.134,3.071,8.741,4.429
just want to,3.429,5.586,3.653,2.793,2.089,7.37,0.0,4.389
trying to find,3.038,5.229,3.819,3.351,3.134,6.142,4.371,4.389
expressed here are,2.268,6.18,3.736,1.676,1.045,2.457,21.853,4.389
own and not,2.153,7.131,3.57,2.793,0.0,1.228,0.0,4.389
who likes to,2.805,5.823,2.657,7.819,8.357,3.685,0.0,4.349
those of my,1.468,5.586,4.151,2.234,3.134,1.843,8.741,4.349
a bit of,2.312,4.635,4.068,5.027,5.223,2.457,8.741,4.309
to figure out,2.094,4.159,4.4,5.585,4.178,3.685,0.0,4.309
have no idea,1.794,2.852,4.815,6.144,7.312,3.685,8.741,4.309
proud member of,4.902,5.11,3.57,6.702,3.134,3.685,0.0,4.269
a fan of,3.921,5.704,3.819,3.351,4.178,1.843,0.0,4.269
trying to live,3.148,3.803,4.982,6.144,2.089,1.228,0.0,4.269
know how to,2.277,3.328,4.234,6.144,4.178,7.37,4.371,4.269
a better place,3.501,5.11,4.483,1.676,3.134,1.843,0.0,4.229
crazy cat lady,1.174,0.0,8.303,0.0,0.0,3.071,4.371,4.229
this is the,6.919,5.11,3.321,5.027,2.089,6.142,4.371,4.189
a bunch of,2.123,5.348,3.819,3.91,3.134,1.843,4.371,4.189
most of the,2.053,5.823,3.487,2.793,3.134,1.843,13.112,4.189
to be the,5.095,5.229,3.819,2.793,4.178,2.457,4.371,4.149
