token,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
binary,6550,104,117,1490,280,323,129,2443
non-binary,0.456,0.452,0.453,0.542,0.55,0.548,0.504,0.534
nonbinary,0.306,0.394,0.41,0.387,0.396,0.406,0.395,0.392
non binary,0.063,0.067,0.051,0.061,0.043,0.034,0.093,0.057
multiple_nonbinary_signals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
