token,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
author,82.164,129.419,182.656,87.685,76.256,109.937,122.378,148.661
game,54.931,259.077,73.727,145.769,192.207,94.583,192.308,148.062
out,143.551,160.794,137.407,135.716,161.914,145.56,240.385,147.543
open,57.042,191.099,89.667,207.205,298.757,173.812,183.566,146.426
gmail,95.457,169.945,111.171,167.551,197.43,168.898,109.266,141.958
time,131.377,152.713,133.505,140.743,133.709,124.063,183.566,140.322
alum,94.302,144.631,172.278,34.069,50.141,68.173,17.483,140.282
good,118.412,157.585,133.339,125.105,132.665,119.15,161.713,140.202
designer,55.111,185.513,112.001,126.78,157.735,109.937,100.524,139.245
stuff,49.451,194.545,94.068,148.003,173.404,119.15,249.126,137.729
also,75.864,174.461,109.178,127.897,160.869,117.922,270.979,136.452
editor,44.958,142.967,151.189,91.595,68.944,81.685,56.818,135.654
am,153.524,142.492,126.78,170.902,123.263,127.748,170.455,135.534
26,32.05,119.199,116.402,211.673,209.966,199.607,227.273,134.138
dog,62.89,111.831,167.13,70.371,76.256,62.032,113.636,130.866
phd,31.084,123.121,153.182,65.345,77.301,82.914,74.301,128.632
dad,111.556,333.115,10.046,41.888,125.353,14.126,83.042,126.118
pronouns,25.001,106.602,105.774,268.082,193.252,120.378,515.734,125.679
always,91.904,129.419,128.855,108.908,120.13,102.567,109.266,125.4
content,92.675,151.643,94.981,150.237,173.404,128.977,166.084,123.804
mostly,34.592,139.878,109.012,116.727,148.334,120.993,161.713,122.687
more,128.049,135.005,120.304,108.908,113.862,83.528,166.084,122.208
as,116.183,141.66,106.273,126.222,132.665,106.252,174.825,121.211
mine,37.847,139.283,131.927,51.941,47.007,67.559,52.448,120.532
one,126.956,135.124,115.654,88.802,105.505,108.709,131.119,119.575
girl,72.857,20.797,198.182,41.888,21.937,184.867,139.86,119.335
old,77.967,137.382,96.808,141.86,149.378,104.41,314.685,118.139
former,92.028,153.901,116.402,43.005,72.078,54.047,61.189,117.5
now,107.501,137.62,112.499,85.451,98.193,91.512,144.231,117.38
wife,117.163,24.363,212.462,28.484,18.803,57.118,61.189,117.301
director,81.523,145.226,118.56,48.59,60.587,58.347,21.853,115.505
new,152.0,142.373,107.684,79.307,87.747,70.016,83.042,113.869
teacher,78.538,98.164,149.612,46.914,37.606,47.291,69.93,113.351
icon,12.41,117.416,69.326,250.209,271.597,153.544,262.238,113.351
trying,65.744,130.014,101.374,113.935,116.996,101.953,87.413,112.393
streamer,46.876,145.701,76.134,136.833,161.914,139.418,157.343,111.954
engineer,61.727,208.45,59.695,63.111,89.836,57.118,100.524,111.236
professional,82.101,127.875,99.88,102.206,123.263,101.339,83.042,110.279
science,54.421,128.231,118.56,55.292,56.409,51.591,78.671,110.199
social,67.88,99.471,129.52,75.956,82.524,74.929,69.93,109.72
27,25.083,96.262,88.339,191.567,176.538,190.394,205.42,109.441
too,58.862,115.396,104.114,110.584,109.683,95.811,249.126,109.361
proud,118.168,115.99,119.058,74.281,89.836,55.89,87.413,109.321
twitter,146.003,126.805,92.739,121.754,118.04,100.111,126.748,108.004
stan,25.572,89.251,124.953,79.307,112.817,117.307,39.336,107.964
anime,40.265,133.104,90.581,101.089,92.97,116.079,126.748,107.685
what,119.531,108.979,105.774,102.765,85.658,106.866,135.49,106.209
ig,196.818,74.395,129.354,103.882,97.148,110.552,78.671,106.169
so,93.277,104.7,103.45,117.844,123.263,93.355,144.231,105.371
advocate,55.55,84.972,135.082,62.552,51.186,65.717,56.818,104.653
human,49.184,101.61,109.511,107.233,66.855,98.882,139.86,104.653
people,117.158,122.408,102.204,79.866,81.479,60.803,69.93,103.616
